plan_id,plan_name,monthly_fee,data_limit_gb
100125,Plan_125,50,10
100126,Plan_126,10,50
100127,Plan_127,30,100
100128,Plan_128,20,50
100129,Plan_129,50,100
100130,Plan_130,50,50
100131,Plan_131,50,100
100132,Plan_132,40,20
100133,Plan_133,50,100
100134,Plan_134,50,50
100135,Plan_135,10,100
100136,Plan_136,30,10
100137,Plan_137,50,20
100138,Plan_138,50,50
100139,Plan_139,50,10
100140,Plan_140,20,20
100141,Plan_141,50,5
100142,Plan_142,30,5
100143,Plan_143,50,20
100144,Plan_144,50,100
100145,Plan_145,20,10
100146,Plan_146,20,5
100147,Plan_147,20,10
100148,Plan_148,30,10
100149,Plan_149,40,50
100150,Plan_150,50,100
100151,Plan_151,10,50
100152,Plan_152,50,5
100153,Plan_153,50,50
100154,Plan_154,20,50
100155,Plan_155,10,50
100156,Plan_156,40,5
100157,Plan_157,40,10
100158,Plan_158,20,20
100159,Plan_159,50,10
100160,Plan_160,50,100
100161,Plan_161,20,20
100162,Plan_162,50,20
100163,Plan_163,20,100
100164,Plan_164,20,100
100165,Plan_165,10,20
100166,Plan_166,10,20
100167,Plan_167,40,5
100168,Plan_168,20,100
100169,Plan_169,50,50
100170,Plan_170,30,5
100171,Plan_171,50,10
100172,Plan_172,40,100
100173,Plan_173,30,100
100174,Plan_174,20,50
100175,Plan_175,30,5
100176,Plan_176,50,50
100177,Plan_177,50,50
100178,Plan_178,30,50
100179,Plan_179,10,10
100180,Plan_180,10,100
100181,Plan_181,40,50
100182,Plan_182,10,10
100183,Plan_183,20,100
100184,Plan_184,30,100
100185,Plan_185,30,5
100186,Plan_186,30,10
100187,Plan_187,30,50
100188,Plan_188,50,10
100189,Plan_189,20,100
100190,Plan_190,30,100
100191,Plan_191,30,5
100192,Plan_192,10,10
100193,Plan_193,40,10
100194,Plan_194,10,5
100195,Plan_195,50,50
100196,Plan_196,50,50
100197,Plan_197,40,5
100198,Plan_198,10,5
100199,Plan_199,40,100
100200,Plan_200,20,5
100201,Plan_201,10,10
100202,Plan_202,50,20
100203,Plan_203,10,5
100204,Plan_204,10,50
100205,Plan_205,50,5
100206,Plan_206,50,20
100207,Plan_207,10,20
100208,Plan_208,50,5
100209,Plan_209,30,5
100210,Plan_210,40,50
100211,Plan_211,20,100
100212,Plan_212,20,100
100213,Plan_213,40,50
100214,Plan_214,20,5
100215,Plan_215,30,10
100216,Plan_216,30,20
100217,Plan_217,10,50
100218,Plan_218,40,50
100219,Plan_219,50,20
100220,Plan_220,40,10
100221,Plan_221,10,50
100222,Plan_222,20,50
100223,Plan_223,40,10
100224,Plan_224,50,10
100225,Plan_225,30,5
100226,Plan_226,50,5
100227,Plan_227,40,50
100228,Plan_228,40,5
100229,Plan_229,20,100
100230,Plan_230,50,5
100231,Plan_231,30,5
100232,Plan_232,40,100
100233,Plan_233,50,20
100234,Plan_234,10,10
100235,Plan_235,20,10
100236,Plan_236,40,10
100237,Plan_237,10,10
100238,Plan_238,30,20
100239,Plan_239,20,10
100240,Plan_240,30,50
100241,Plan_241,10,50
100242,Plan_242,50,5
100243,Plan_243,40,5
100244,Plan_244,20,10
100245,Plan_245,10,5
100246,Plan_246,50,10
100247,Plan_247,10,50
100248,Plan_248,10,10
100249,Plan_249,40,10
100250,Plan_250,50,20
100251,Plan_251,20,50
100252,Plan_252,40,100
100253,Plan_253,50,20
100254,Plan_254,40,5
100255,Plan_255,20,10
100256,Plan_256,40,5
100257,Plan_257,50,20
100258,Plan_258,30,20
100259,Plan_259,50,5
100260,Plan_260,20,100
100261,Plan_261,30,5
100262,Plan_262,20,50
100263,Plan_263,30,100
100264,Plan_264,10,5
100265,Plan_265,40,20
100266,Plan_266,30,5
100267,Plan_267,20,50
100268,Plan_268,20,20
100269,Plan_269,10,50
100270,Plan_270,40,100
100271,Plan_271,10,10
100272,Plan_272,40,50
100273,Plan_273,50,10
100274,Plan_274,20,5
100275,Plan_275,10,10
100276,Plan_276,10,50
100277,Plan_277,50,100
100278,Plan_278,20,5
100279,Plan_279,20,20
100280,Plan_280,50,50
100281,Plan_281,20,100
100282,Plan_282,50,20
100283,Plan_283,40,100
100284,Plan_284,40,10
100285,Plan_285,40,10
100286,Plan_286,50,10
100287,Plan_287,10,100
100288,Plan_288,20,100
100289,Plan_289,30,50
100290,Plan_290,10,20
100291,Plan_291,20,100
100292,Plan_292,40,5
100293,Plan_293,40,100
100294,Plan_294,50,50
100295,Plan_295,40,5
100296,Plan_296,40,50
100297,Plan_297,10,50
100298,Plan_298,40,10
100299,Plan_299,40,100
100300,Plan_300,20,5
100301,Plan_301,30,5
100302,Plan_302,40,100
100303,Plan_303,20,5
100304,Plan_304,20,10
100305,Plan_305,20,20
100306,Plan_306,30,10
100307,Plan_307,10,50
100308,Plan_308,30,5
100309,Plan_309,30,100
100310,Plan_310,40,5
100311,Plan_311,30,50
100312,Plan_312,50,10
100313,Plan_313,10,100
100314,Plan_314,20,5
100315,Plan_315,50,10
100316,Plan_316,30,100
100317,Plan_317,40,50
100318,Plan_318,50,5
100319,Plan_319,50,100
100320,Plan_320,50,20
100321,Plan_321,20,50
100322,Plan_322,50,100
100323,Plan_323,50,20
100324,Plan_324,50,5
100325,Plan_325,20,10
100326,Plan_326,10,20
100327,Plan_327,10,100
100328,Plan_328,20,100
100329,Plan_329,40,100
100330,Plan_330,30,100
100331,Plan_331,30,10
100332,Plan_332,30,100
100333,Plan_333,30,100
100334,Plan_334,50,100
100335,Plan_335,10,5
100336,Plan_336,30,20
100337,Plan_337,40,100
100338,Plan_338,50,50
100339,Plan_339,10,50
100340,Plan_340,10,20
100341,Plan_341,20,10
100342,Plan_342,50,50
100343,Plan_343,40,50
100344,Plan_344,40,10
100345,Plan_345,50,10
100346,Plan_346,10,100
100347,Plan_347,40,20
100348,Plan_348,40,5
100349,Plan_349,50,5
100350,Plan_350,40,50
100351,Plan_351,50,100
100352,Plan_352,40,50
100353,Plan_353,50,10
100354,Plan_354,50,100
100355,Plan_355,40,100
100356,Plan_356,40,10
100357,Plan_357,20,20
100358,Plan_358,50,100
100359,Plan_359,20,50
100360,Plan_360,10,100
100361,Plan_361,30,100
100362,Plan_362,10,50
100363,Plan_363,20,10
100364,Plan_364,30,5
100365,Plan_365,30,5
100366,Plan_366,30,50
100367,Plan_367,40,100
100368,Plan_368,30,50
100369,Plan_369,50,5
100370,Plan_370,10,5
100371,Plan_371,20,20
100372,Plan_372,50,10
100373,Plan_373,30,20
100374,Plan_374,30,20
100375,Plan_375,20,100
100376,Plan_376,40,50
100377,Plan_377,50,50
100378,Plan_378,20,10
100379,Plan_379,30,100
100380,Plan_380,30,10
100381,Plan_381,20,10
100382,Plan_382,50,100
100383,Plan_383,30,50
100384,Plan_384,20,10
100385,Plan_385,50,100
100386,Plan_386,10,20
100387,Plan_387,40,10
100388,Plan_388,30,5
100389,Plan_389,30,10
100390,Plan_390,50,20
100391,Plan_391,40,10
100392,Plan_392,30,50
100393,Plan_393,20,100
100394,Plan_394,20,50
100395,Plan_395,50,10
100396,Plan_396,20,20
100397,Plan_397,50,100
100398,Plan_398,30,5
100399,Plan_399,20,100
100400,Plan_400,10,100
100401,Plan_401,40,20
100402,Plan_402,30,5
100403,Plan_403,40,100
100404,Plan_404,30,50
100405,Plan_405,50,20
100406,Plan_406,10,100
100407,Plan_407,30,50
100408,Plan_408,30,20
100409,Plan_409,20,5
100410,Plan_410,20,20
100411,Plan_411,50,5
100412,Plan_412,50,100
100413,Plan_413,10,5
100414,Plan_414,40,100
100415,Plan_415,40,10
100416,Plan_416,10,10
100417,Plan_417,50,20
100418,Plan_418,50,10
100419,Plan_419,30,5
100420,Plan_420,10,20
100421,Plan_421,20,50
100422,Plan_422,30,5
100423,Plan_423,30,20
100424,Plan_424,40,5
100425,Plan_425,30,20
100426,Plan_426,20,5
100427,Plan_427,20,10
100428,Plan_428,30,100
100429,Plan_429,20,50
100430,Plan_430,40,100
100431,Plan_431,10,10
100432,Plan_432,40,50
100433,Plan_433,30,5
100434,Plan_434,10,100
100435,Plan_435,30,10
100436,Plan_436,10,20
100437,Plan_437,10,5
100438,Plan_438,30,10
100439,Plan_439,40,50
100440,Plan_440,50,100
100441,Plan_441,10,100
100442,Plan_442,50,50
100443,Plan_443,50,5
100444,Plan_444,50,10
100445,Plan_445,40,5
100446,Plan_446,30,20
100447,Plan_447,20,10
100448,Plan_448,50,100
100449,Plan_449,50,20
100450,Plan_450,40,10
100451,Plan_451,20,20
100452,Plan_452,50,50
100453,Plan_453,40,5
100454,Plan_454,30,100
100455,Plan_455,50,50
100456,Plan_456,40,100
100457,Plan_457,40,20
100458,Plan_458,30,10
100459,Plan_459,20,50
100460,Plan_460,30,100
100461,Plan_461,30,20
100462,Plan_462,50,20
100463,Plan_463,50,50
100464,Plan_464,30,20
100465,Plan_465,50,20
100466,Plan_466,20,100
100467,Plan_467,20,20
100468,Plan_468,50,5
100469,Plan_469,10,50
100470,Plan_470,30,5
100471,Plan_471,20,5
100472,Plan_472,10,5
100473,Plan_473,20,20
100474,Plan_474,30,10
100475,Plan_475,50,10
100476,Plan_476,10,10
100477,Plan_477,20,5
100478,Plan_478,30,20
100479,Plan_479,10,10
100480,Plan_480,10,20
100481,Plan_481,30,50
100482,Plan_482,10,100
100483,Plan_483,20,50
100484,Plan_484,50,10
100485,Plan_485,10,20
100486,Plan_486,30,20
100487,Plan_487,50,100
100488,Plan_488,50,50
100489,Plan_489,40,100
100490,Plan_490,50,50
100491,Plan_491,20,50
100492,Plan_492,20,50
100493,Plan_493,40,50
100494,Plan_494,30,50
100495,Plan_495,20,5
100496,Plan_496,20,20
100497,Plan_497,50,10
100498,Plan_498,30,20
100499,Plan_499,20,5
100500,Plan_500,50,10
100501,Plan_501,20,100
100502,Plan_502,10,10
100503,Plan_503,20,5
100504,Plan_504,20,10
100505,Plan_505,50,10
100506,Plan_506,10,20
100507,Plan_507,50,5
100508,Plan_508,10,50
100509,Plan_509,10,5
100510,Plan_510,50,10
100511,Plan_511,40,20
100512,Plan_512,40,10
100513,Plan_513,20,100
100514,Plan_514,40,20
100515,Plan_515,10,100
100516,Plan_516,20,50
100517,Plan_517,40,100
100518,Plan_518,10,50
100519,Plan_519,20,10
100520,Plan_520,30,50
100521,Plan_521,40,20
100522,Plan_522,30,20
100523,Plan_523,50,20
100524,Plan_524,40,10
100525,Plan_525,40,10
100526,Plan_526,50,5
100527,Plan_527,30,10
100528,Plan_528,50,5
100529,Plan_529,50,50
100530,Plan_530,40,100
100531,Plan_531,20,5
100532,Plan_532,40,5
100533,Plan_533,50,10
100534,Plan_534,40,5
100535,Plan_535,40,10
100536,Plan_536,10,50
100537,Plan_537,20,10
100538,Plan_538,40,10
100539,Plan_539,50,100
100540,Plan_540,20,5
100541,Plan_541,30,10
100542,Plan_542,20,10
100543,Plan_543,50,100
100544,Plan_544,50,10
100545,Plan_545,40,10
100546,Plan_546,10,50
100547,Plan_547,30,100
100548,Plan_548,10,20
100549,Plan_549,20,100
100550,Plan_550,50,10
100551,Plan_551,20,10
100552,Plan_552,30,20
100553,Plan_553,20,100
100554,Plan_554,50,10
100555,Plan_555,30,100
100556,Plan_556,30,20
100557,Plan_557,40,5
100558,Plan_558,40,50
100559,Plan_559,40,10
100560,Plan_560,20,50
100561,Plan_561,30,10
100562,Plan_562,10,100
100563,Plan_563,30,20
100564,Plan_564,30,100
100565,Plan_565,40,100
100566,Plan_566,10,10
100567,Plan_567,40,100
100568,Plan_568,50,50
100569,Plan_569,10,10
100570,Plan_570,50,10
100571,Plan_571,40,5
100572,Plan_572,20,5
100573,Plan_573,30,10
100574,Plan_574,50,50
100575,Plan_575,50,50
100576,Plan_576,10,10
100577,Plan_577,40,20
100578,Plan_578,20,100
100579,Plan_579,50,100
100580,Plan_580,20,10
100581,Plan_581,20,5
100582,Plan_582,10,10
100583,Plan_583,30,50
100584,Plan_584,10,100
100585,Plan_585,20,10
100586,Plan_586,10,5
100587,Plan_587,30,100
100588,Plan_588,40,100
100589,Plan_589,40,100
100590,Plan_590,50,100
100591,Plan_591,50,50
100592,Plan_592,30,10
100593,Plan_593,30,100
100594,Plan_594,30,10
100595,Plan_595,20,100
100596,Plan_596,40,5
100597,Plan_597,10,10
100598,Plan_598,10,20
100599,Plan_599,30,10
100600,Plan_600,40,5
100601,Plan_601,50,100
100602,Plan_602,30,5
100603,Plan_603,40,5
100604,Plan_604,30,10
100605,Plan_605,20,100
100606,Plan_606,10,5
100607,Plan_607,20,100
100608,Plan_608,20,100
100609,Plan_609,30,5
100610,Plan_610,10,20
100611,Plan_611,20,50
100612,Plan_612,30,100
100613,Plan_613,20,5
100614,Plan_614,50,10
100615,Plan_615,10,100
100616,Plan_616,40,50
100617,Plan_617,10,10
100618,Plan_618,50,50
100619,Plan_619,10,100
100620,Plan_620,10,10
100621,Plan_621,40,5
100622,Plan_622,20,10
100623,Plan_623,10,10
100624,Plan_624,20,5
100625,Plan_625,40,50
100626,Plan_626,40,10
100627,Plan_627,10,5
100628,Plan_628,50,5
100629,Plan_629,10,5
100630,Plan_630,40,50
100631,Plan_631,10,10
100632,Plan_632,20,5
100633,Plan_633,10,100
100634,Plan_634,10,50
100635,Plan_635,20,20
100636,Plan_636,50,50
100637,Plan_637,20,10
100638,Plan_638,50,10
100639,Plan_639,10,20
100640,Plan_640,50,10
100641,Plan_641,40,50
100642,Plan_642,30,10
100643,Plan_643,50,5
100644,Plan_644,20,50
100645,Plan_645,30,100
100646,Plan_646,10,10
100647,Plan_647,30,10
100648,Plan_648,10,5
100649,Plan_649,30,5
100650,Plan_650,50,50
100651,Plan_651,50,10
100652,Plan_652,30,5
100653,Plan_653,50,20
100654,Plan_654,20,10
100655,Plan_655,50,20
100656,Plan_656,40,10
100657,Plan_657,10,100
100658,Plan_658,20,20
100659,Plan_659,30,50
100660,Plan_660,10,5
100661,Plan_661,20,100
100662,Plan_662,50,20
100663,Plan_663,20,100
100664,Plan_664,40,5
100665,Plan_665,10,10
100666,Plan_666,40,5
100667,Plan_667,20,20
100668,Plan_668,20,50
100669,Plan_669,30,100
100670,Plan_670,30,100
100671,Plan_671,30,50
100672,Plan_672,30,10
100673,Plan_673,20,5
100674,Plan_674,30,5
100675,Plan_675,20,5
100676,Plan_676,20,50
100677,Plan_677,10,50
100678,Plan_678,10,20
100679,Plan_679,50,10
100680,Plan_680,40,10
100681,Plan_681,50,50
100682,Plan_682,30,5
100683,Plan_683,20,100
100684,Plan_684,50,5
100685,Plan_685,40,5
100686,Plan_686,40,50
100687,Plan_687,50,5
100688,Plan_688,40,10
100689,Plan_689,20,10
100690,Plan_690,30,100
100691,Plan_691,10,20
100692,Plan_692,30,20
100693,Plan_693,20,5
100694,Plan_694,20,20
100695,Plan_695,10,10
100696,Plan_696,10,5
100697,Plan_697,10,100
100698,Plan_698,30,50
100699,Plan_699,40,100
100700,Plan_700,40,20
100701,Plan_701,40,20
100702,Plan_702,50,5
100703,Plan_703,30,50
100704,Plan_704,50,20
100705,Plan_705,30,20
100706,Plan_706,40,10
100707,Plan_707,20,20
100708,Plan_708,40,5
100709,Plan_709,20,20
100710,Plan_710,40,50
100711,Plan_711,10,5
100712,Plan_712,10,100
100713,Plan_713,10,5
100714,Plan_714,50,5
100715,Plan_715,10,10
100716,Plan_716,10,50
100717,Plan_717,50,10
100718,Plan_718,10,50
100719,Plan_719,40,20
100720,Plan_720,10,50
100721,Plan_721,20,50
100722,Plan_722,50,5
100723,Plan_723,50,5
100724,Plan_724,50,5
100725,Plan_725,30,50
100726,Plan_726,10,10
100727,Plan_727,50,5
100728,Plan_728,10,20
100729,Plan_729,10,50
100730,Plan_730,10,10
100731,Plan_731,50,5
100732,Plan_732,40,50
100733,Plan_733,10,10
100734,Plan_734,10,50
100735,Plan_735,20,20
100736,Plan_736,10,5
100737,Plan_737,30,20
100738,Plan_738,50,20
100739,Plan_739,40,20
100740,Plan_740,20,50
100741,Plan_741,20,5
100742,Plan_742,20,5
100743,Plan_743,10,100
100744,Plan_744,40,10
100745,Plan_745,30,100
100746,Plan_746,50,20
100747,Plan_747,40,50
100748,Plan_748,40,100
100749,Plan_749,30,50
100750,Plan_750,10,10
100751,Plan_751,10,100
100752,Plan_752,10,20
100753,Plan_753,20,10
100754,Plan_754,50,50
100755,Plan_755,20,50
100756,Plan_756,30,50
100757,Plan_757,40,50
100758,Plan_758,20,5
100759,Plan_759,30,100
100760,Plan_760,10,100
100761,Plan_761,20,10
100762,Plan_762,40,5
100763,Plan_763,10,5
100764,Plan_764,30,50
100765,Plan_765,40,50
100766,Plan_766,10,20
100767,Plan_767,30,100
100768,Plan_768,10,5
100769,Plan_769,10,5
100770,Plan_770,40,100
100771,Plan_771,40,50
100772,Plan_772,10,20
100773,Plan_773,10,5
100774,Plan_774,30,100
100775,Plan_775,20,100
100776,Plan_776,50,5
100777,Plan_777,50,20
100778,Plan_778,50,5
100779,Plan_779,30,10
100780,Plan_780,10,20
100781,Plan_781,20,5
100782,Plan_782,30,100
100783,Plan_783,50,100
100784,Plan_784,10,100
100785,Plan_785,30,100
100786,Plan_786,40,50
100787,Plan_787,50,100
100788,Plan_788,40,10
100789,Plan_789,10,10
100790,Plan_790,40,100
100791,Plan_791,40,5
100792,Plan_792,40,50
100793,Plan_793,50,100
100794,Plan_794,30,5
100795,Plan_795,40,50
100796,Plan_796,10,10
100797,Plan_797,20,50
100798,Plan_798,30,5
100799,Plan_799,40,50
100800,Plan_800,50,20
100801,Plan_801,20,10
100802,Plan_802,20,20
100803,Plan_803,40,10
100804,Plan_804,20,100
100805,Plan_805,50,100
100806,Plan_806,30,100
100807,Plan_807,50,5
100808,Plan_808,50,50
100809,Plan_809,10,5
100810,Plan_810,30,10
100811,Plan_811,40,10
100812,Plan_812,10,10
100813,Plan_813,40,5
100814,Plan_814,50,50
100815,Plan_815,50,10
100816,Plan_816,10,5
100817,Plan_817,40,5
100818,Plan_818,20,5
100819,Plan_819,30,5
100820,Plan_820,50,5
100821,Plan_821,20,20
100822,Plan_822,50,100
100823,Plan_823,50,100
100824,Plan_824,50,100
100825,Plan_825,40,10
100826,Plan_826,10,5
100827,Plan_827,40,5
100828,Plan_828,50,100
100829,Plan_829,50,20
100830,Plan_830,50,5
100831,Plan_831,10,100
100832,Plan_832,40,20
100833,Plan_833,30,100
100834,Plan_834,20,10
100835,Plan_835,10,50
100836,Plan_836,30,100
100837,Plan_837,50,10
100838,Plan_838,50,50
100839,Plan_839,50,20
100840,Plan_840,40,5
100841,Plan_841,50,10
100842,Plan_842,10,5
100843,Plan_843,30,100
100844,Plan_844,10,50
100845,Plan_845,40,20
100846,Plan_846,40,5
100847,Plan_847,20,10
100848,Plan_848,40,100
100849,Plan_849,10,20
100850,Plan_850,50,50
100851,Plan_851,10,5
100852,Plan_852,20,100
100853,Plan_853,40,100
100854,Plan_854,30,10
100855,Plan_855,50,50
100856,Plan_856,50,100
100857,Plan_857,20,50
100858,Plan_858,40,100
100859,Plan_859,40,5
100860,Plan_860,30,5
100861,Plan_861,50,20
100862,Plan_862,20,5
100863,Plan_863,30,5
100864,Plan_864,50,50
100865,Plan_865,10,20
100866,Plan_866,40,5
100867,Plan_867,40,100
100868,Plan_868,20,10
100869,Plan_869,40,20
100870,Plan_870,50,100
100871,Plan_871,20,20
100872,Plan_872,40,20
100873,Plan_873,10,50
100874,Plan_874,50,50
100875,Plan_875,20,20
100876,Plan_876,10,100
100877,Plan_877,40,20
100878,Plan_878,50,50
100879,Plan_879,40,100
100880,Plan_880,20,20
100881,Plan_881,50,50
100882,Plan_882,10,20
100883,Plan_883,40,100
100884,Plan_884,30,10
100885,Plan_885,10,50
100886,Plan_886,10,10
100887,Plan_887,50,20
100888,Plan_888,10,50
100889,Plan_889,20,10
100890,Plan_890,30,100
100891,Plan_891,20,50
100892,Plan_892,30,100
100893,Plan_893,50,10
100894,Plan_894,10,100
100895,Plan_895,50,10
100896,Plan_896,30,100
100897,Plan_897,40,100
100898,Plan_898,50,10
100899,Plan_899,50,5
100900,Plan_900,40,10
100901,Plan_901,30,50
100902,Plan_902,40,10
100903,Plan_903,50,50
100904,Plan_904,50,100
100905,Plan_905,10,50
100906,Plan_906,10,100
100907,Plan_907,10,5
100908,Plan_908,30,5
100909,Plan_909,20,5
100910,Plan_910,50,10
100911,Plan_911,30,100
100912,Plan_912,20,10
100913,Plan_913,40,5
100914,Plan_914,20,10
100915,Plan_915,40,50
100916,Plan_916,10,20
100917,Plan_917,20,10
100918,Plan_918,10,20
100919,Plan_919,30,100
100920,Plan_920,50,5
100921,Plan_921,40,20
100922,Plan_922,10,10
100923,Plan_923,30,20
100924,Plan_924,30,50
100925,Plan_925,20,20
100926,Plan_926,10,100
100927,Plan_927,10,50
100928,Plan_928,30,5
100929,Plan_929,20,20
100930,Plan_930,30,5
100931,Plan_931,50,50
100932,Plan_932,40,5
100933,Plan_933,40,50
100934,Plan_934,10,100
100935,Plan_935,20,20
100936,Plan_936,50,100
100937,Plan_937,50,100
100938,Plan_938,10,100
100939,Plan_939,50,5
100940,Plan_940,40,50
100941,Plan_941,50,10
100942,Plan_942,10,20
100943,Plan_943,10,50
100944,Plan_944,30,50
100945,Plan_945,50,5
100946,Plan_946,20,20
100947,Plan_947,50,10
100948,Plan_948,40,50
100949,Plan_949,30,100
100950,Plan_950,40,100
100951,Plan_951,50,100
100952,Plan_952,20,100
100953,Plan_953,40,100
100954,Plan_954,50,50
100955,Plan_955,30,100
100956,Plan_956,40,100
100957,Plan_957,30,5
100958,Plan_958,30,20
100959,Plan_959,50,20
100960,Plan_960,30,5
100961,Plan_961,10,5
100962,Plan_962,50,10
100963,Plan_963,50,10
100964,Plan_964,10,50
100965,Plan_965,30,10
100966,Plan_966,40,5
100967,Plan_967,30,5
100968,Plan_968,10,50
100969,Plan_969,10,50
100970,Plan_970,10,10
100971,Plan_971,50,100
100972,Plan_972,50,50
100973,Plan_973,20,50
100974,Plan_974,30,10
100975,Plan_975,40,10
100976,Plan_976,10,100
100977,Plan_977,50,20
100978,Plan_978,30,20
100979,Plan_979,50,5
100980,Plan_980,40,50
100981,Plan_981,10,5
100982,Plan_982,10,100
100983,Plan_983,50,20
100984,Plan_984,20,20
100985,Plan_985,50,100
100986,Plan_986,30,10
100987,Plan_987,10,20
100988,Plan_988,40,50
100989,Plan_989,30,100
100990,Plan_990,50,50
100991,Plan_991,40,50
100992,Plan_992,40,5
100993,Plan_993,30,50
100994,Plan_994,30,10
100995,Plan_995,10,20
100996,Plan_996,30,50
100997,Plan_997,30,50
100998,Plan_998,40,20
100999,Plan_999,50,5
101000,Plan_1000,50,50
101001,Plan_1001,30,20
101002,Plan_1002,20,10
101003,Plan_1003,50,100
101004,Plan_1004,10,50
101005,Plan_1005,20,10
101006,Plan_1006,30,20
101007,Plan_1007,40,50
101008,Plan_1008,20,10
101009,Plan_1009,40,20
101010,Plan_1010,30,5
101011,Plan_1011,10,50
101012,Plan_1012,30,100
101013,Plan_1013,50,20
101014,Plan_1014,20,5
101015,Plan_1015,10,50
101016,Plan_1016,20,10
101017,Plan_1017,10,10
101018,Plan_1018,20,20
101019,Plan_1019,20,50
101020,Plan_1020,40,50
101021,Plan_1021,40,20
101022,Plan_1022,40,10
101023,Plan_1023,30,100
101024,Plan_1024,10,50
101025,Plan_1025,10,5
101026,Plan_1026,10,10
101027,Plan_1027,30,5
101028,Plan_1028,10,20
101029,Plan_1029,50,20
101030,Plan_1030,50,100
101031,Plan_1031,40,5
101032,Plan_1032,10,100
101033,Plan_1033,10,5
101034,Plan_1034,40,100
101035,Plan_1035,50,50
101036,Plan_1036,40,50
101037,Plan_1037,50,10
101038,Plan_1038,20,5
101039,Plan_1039,20,100
101040,Plan_1040,50,20
101041,Plan_1041,40,5
101042,Plan_1042,30,50
101043,Plan_1043,20,50
101044,Plan_1044,30,10
101045,Plan_1045,40,5
101046,Plan_1046,20,5
101047,Plan_1047,20,5
101048,Plan_1048,20,100
101049,Plan_1049,30,10
101050,Plan_1050,40,20
101051,Plan_1051,20,50
101052,Plan_1052,30,100
101053,Plan_1053,40,100
101054,Plan_1054,10,50
101055,Plan_1055,50,20
101056,Plan_1056,20,20
101057,Plan_1057,30,100
101058,Plan_1058,20,20
101059,Plan_1059,20,5
101060,Plan_1060,50,10
101061,Plan_1061,50,20
101062,Plan_1062,30,20
101063,Plan_1063,30,5
101064,Plan_1064,10,50
101065,Plan_1065,30,20
101066,Plan_1066,30,20
101067,Plan_1067,40,20
