subscription_id,customer_id,plan_id,start_date
200080,499,108363,2024-08-08
200081,2232,104183,2023-10-23
200082,6672,104760,2023-02-12
200083,3889,105447,2023-01-28
200084,7269,106767,2024-09-01
200085,5917,105680,2025-03-13
200086,5773,109853,2024-12-15
200087,3447,106034,2025-05-31
200088,5450,108329,2024-06-07
200089,1275,101016,2024-06-03
200090,11663,102198,2024-11-10
200091,2500,107318,2024-03-25
200092,5403,104916,2024-04-02
200093,7406,108138,2024-05-19
200094,4449,106097,2024-08-11
200095,2948,106062,2023-10-18
200096,11601,101925,2023-05-10
200097,3553,108427,2024-04-03
200098,2432,104727,2025-01-24
200099,9615,104069,2024-05-09
200100,9768,107700,2024-09-22
200101,632,100279,2024-05-20
200102,1018,104670,2025-06-14
200103,5423,105967,2024-09-06
200104,4657,108969,2025-05-02
200105,5088,109326,2024-12-05
200106,6817,107567,2023-09-29
200107,11791,101729,2024-03-22
200108,6986,102173,2023-07-22
200109,11105,109235,2023-12-16
200110,6911,108005,2023-05-01
200111,2524,105405,2024-01-08
200112,9604,103621,2023-12-18
200113,490,102765,2025-03-06
200114,7380,107061,2024-04-02
200115,4318,100342,2024-01-20
200116,4934,102031,2025-03-12
200117,2538,102508,2024-05-17
200118,2418,107909,2024-02-11
200119,5906,103234,2025-04-04
200120,1029,104638,2025-04-16
200121,6027,101855,2024-12-11
200122,10283,103309,2023-10-10
200123,1692,108134,2024-10-14
200124,810,100916,2023-12-14
200125,4636,105973,2023-12-11
200126,9105,103943,2025-03-20
200127,4748,105787,2023-12-31
200128,10199,105509,2025-04-30
200129,5957,107130,2025-03-31
200130,3070,102016,2024-03-10
200131,9147,103518,2023-07-28
200132,6112,107925,2024-12-17
200133,6794,106796,2024-06-05
200134,885,109184,2025-04-20
200135,10040,105835,2025-02-15
200136,128,104941,2025-04-02
200137,9512,101502,2023-01-31
200138,8237,106839,2025-02-16
200139,11757,100833,2023-10-28
200140,3292,101302,2024-04-30
200141,1455,106072,2023-12-04
200142,11150,107726,2024-07-26
200143,5261,102600,2023-04-06
200144,10253,109488,2024-04-12
200145,9554,103794,2023-08-17
200146,6406,109110,2024-01-28
200147,758,103975,2025-06-10
200148,1124,106886,2023-02-06
200149,8578,109434,2024-06-14
200150,8294,108951,2023-12-25
200151,10588,100401,2023-04-01
200152,548,106039,2024-01-16
200153,9042,103227,2024-09-03
200154,1283,101522,2023-04-21
200155,6053,103353,2023-06-27
200156,717,102651,2024-02-20
200157,4671,100795,2023-02-03
200158,10013,103111,2024-12-03
200159,11107,103889,2024-12-25
200160,3558,109350,2024-03-19
200161,3982,108189,2024-08-24
200162,698,103031,2023-01-03
200163,10907,103870,2024-07-10
200164,9184,107333,2024-06-15
200165,2779,101029,2024-07-27
200166,8722,103462,2024-06-24
200167,4869,104643,2024-04-05
200168,8516,101628,2025-02-09
200169,6754,107419,2024-03-18
200170,6623,104071,2025-02-04
200171,4473,102214,2025-01-26
200172,130,108908,2023-08-27
200173,4899,108397,2024-12-17
200174,1519,103041,2023-10-29
200175,3054,106632,2024-03-21
200176,4786,107877,2023-10-12
200177,2440,106768,2023-11-11
200178,4503,100492,2023-09-21
200179,7588,109156,2023-07-18
200180,11211,102728,2025-02-18
200181,8109,109819,2025-04-20
200182,7113,106660,2023-09-03
200183,7248,109731,2025-03-14
200184,10670,105362,2024-06-14
200185,1523,109006,2024-04-30
200186,7269,104954,2023-10-07
200187,9985,109282,2023-06-22
200188,5098,106360,2024-06-23
200189,7306,101447,2023-11-10
200190,4215,106292,2025-04-15
200191,9992,103560,2025-03-23
200192,9324,105488,2023-09-13
200193,1505,105359,2023-12-05
200194,7163,106609,2023-11-15
200195,10709,102363,2023-07-20
200196,10077,104574,2023-01-11
200197,2501,106208,2025-03-22
200198,9558,100183,2025-05-17
200199,9102,109263,2025-04-04
200200,6145,104396,2025-02-23
200201,9653,106367,2024-02-04
200202,6854,108510,2023-03-07
200203,1995,108811,2023-07-06
200204,2280,109447,2025-03-11
200205,2391,103982,2024-11-11
200206,10649,102235,2023-09-30
200207,6287,109179,2024-05-17
200208,2251,103044,2023-02-23
200209,3712,107663,2023-08-01
200210,3775,107963,2024-12-24
200211,9143,104422,2023-02-24
200212,6338,101054,2023-07-28
200213,8433,106778,2024-05-18
200214,4929,108534,2023-12-01
200215,8123,108216,2023-09-08
200216,844,104350,2025-03-17
200217,5402,105372,2024-08-21
200218,6309,105334,2024-11-22
200219,7363,106544,2024-10-29
200220,10914,106093,2025-04-25
200221,7543,108232,2024-01-30
200222,9202,100035,2023-02-25
200223,5777,105527,2023-03-10
200224,2159,106482,2024-10-14
200225,7848,106953,2023-09-25
200226,10472,104186,2024-09-08
200227,4325,103520,2024-02-29
200228,3674,102714,2024-04-23
200229,597,106024,2024-02-25
200230,1760,104184,2024-03-20
200231,5819,103161,2023-09-15
200232,4149,102910,2023-02-13
200233,1007,104782,2023-06-04
200234,1439,108358,2024-03-17
200235,7260,104097,2024-04-11
200236,11721,101635,2025-06-05
200237,6041,102250,2023-02-21
200238,4089,105338,2023-03-26
200239,10348,109412,2023-04-05
200240,9366,108646,2023-12-22
200241,10989,100356,2025-04-03
200242,5576,106699,2024-01-19
200243,10279,101660,2023-08-30
200244,3667,105188,2025-06-19
200245,8968,105235,2023-02-20
200246,8904,101436,2024-10-02
200247,4311,103073,2023-07-10
200248,3045,109219,2024-05-27
200249,7796,106936,2024-02-25
200250,11637,103356,2023-07-10
200251,8028,109684,2024-12-09
200252,11742,100781,2025-03-09
200253,4574,102112,2023-08-01
200254,3350,108978,2023-04-09
200255,26,106590,2023-02-11
200256,8281,101269,2025-01-24
200257,8046,100709,2023-02-09
200258,5958,102476,2023-05-10
200259,9882,101336,2024-06-25
200260,4379,105728,2024-04-15
200261,10721,104842,2024-08-17
200262,6659,105929,2024-09-24
200263,9808,100343,2023-12-08
200264,2175,107751,2023-01-20
200265,11523,102953,2023-12-26
200266,10100,107033,2023-04-08
200267,1853,104751,2023-08-09
200268,5187,108255,2025-04-21
200269,3175,100734,2023-11-16
200270,103,107930,2024-05-05
200271,11987,106002,2023-05-07
200272,3619,100658,2024-03-14
200273,1259,100178,2024-09-01
200274,2510,102293,2023-04-22
200275,6578,109008,2024-08-24
200276,7468,104711,2023-12-14
200277,3296,107536,2023-04-23
200278,4629,107324,2023-09-02
200279,2540,100717,2023-10-18
200280,4028,101355,2024-09-16
200281,2069,107266,2023-10-16
200282,4079,101426,2023-07-03
200283,6780,106963,2024-02-26
200284,5758,106524,2025-05-26
200285,709,102876,2023-08-15
200286,3298,106582,2023-03-30
200287,6781,105830,2023-12-14
200288,8359,100364,2024-03-04
200289,2385,104105,2024-04-09
200290,5339,105436,2023-12-13
200291,2455,106898,2024-04-12
200292,2275,100888,2024-11-21
200293,3965,106639,2024-10-06
200294,7751,100942,2023-05-28
200295,7450,105146,2023-04-26
200296,127,100127,2023-12-31
200297,11227,107154,2024-07-17
200298,7987,100683,2024-03-12
200299,9488,100045,2023-11-23
200300,7576,101246,2025-03-02
200301,1164,102914,2023-03-27
200302,11434,108562,2023-04-04
200303,6277,107433,2025-06-09
200304,11275,109812,2023-07-27
200305,2953,103948,2024-01-09
200306,3075,109411,2025-04-02
200307,3763,103791,2023-01-18
200308,10317,106072,2023-10-07
200309,8680,104619,2025-01-21
200310,9548,105238,2023-03-25
200311,6859,105421,2024-04-29
200312,919,107248,2024-08-18
200313,4863,103086,2023-05-29
200314,1774,108651,2023-08-21
200315,526,102424,2023-10-05
200316,2895,106488,2024-11-30
200317,4343,106755,2025-02-06
200318,8657,105478,2024-10-05
200319,11209,105422,2025-01-26
200320,1809,109397,2023-01-26
200321,2338,100566,2023-11-08
200322,1128,101062,2023-11-27
200323,11635,104994,2024-07-11
200324,8265,100538,2025-03-08
200325,5179,101615,2023-02-21
200326,9942,103627,2023-07-14
200327,4661,106412,2025-03-04
200328,5981,104061,2023-08-18
200329,6827,103328,2025-02-21
200330,3902,100107,2023-11-20
200331,7897,106035,2024-12-17
200332,4959,103171,2024-04-21
200333,11478,100868,2023-01-03
200334,9465,108852,2023-10-16
200335,1959,106646,2025-02-28
200336,4318,103823,2024-04-06
200337,7356,100541,2024-10-17
200338,10597,102404,2023-04-09
200339,7577,100176,2025-04-28
200340,4417,107223,2023-03-04
200341,1824,103014,2023-12-16
200342,11531,102780,2024-07-19
200343,11141,103670,2025-06-02
200344,3477,109264,2025-02-01
200345,7712,101517,2024-04-04
200346,10518,108833,2024-01-19
200347,6238,108671,2023-04-22
200348,7439,106203,2024-09-11
200349,7282,106144,2023-02-07
200350,5810,109901,2023-04-07
200351,8087,103879,2024-12-06
200352,9221,103916,2023-02-01
200353,11493,101134,2023-02-28
200354,11234,105688,2025-01-08
200355,5949,109662,2023-03-27
200356,6201,109939,2025-02-26
200357,8982,103100,2023-09-11
200358,11756,101207,2024-05-14
200359,9648,103472,2024-01-20
200360,4711,108185,2023-01-29
200361,8506,109866,2024-12-31
200362,4223,104915,2023-02-14
200363,6320,105741,2024-12-22
200364,11754,104850,2025-06-09
200365,5816,102446,2025-01-27
200366,5474,109355,2023-07-27
200367,6040,107653,2023-01-22
200368,10879,108151,2025-05-22
200369,6262,106041,2023-01-07
200370,9447,104276,2024-02-06
200371,2948,100203,2024-04-25
200372,8815,105249,2024-03-11
200373,2412,102987,2024-04-05
200374,1814,109519,2024-11-08
200375,2624,106729,2023-01-27
200376,2109,106276,2025-03-17
200377,1063,101988,2024-07-28
200378,7146,108398,2025-05-31
200379,328,101926,2023-01-28
200380,9935,103610,2024-03-22
200381,53,109628,2024-10-26
200382,1115,109660,2023-10-13
200383,9368,100058,2025-04-14
200384,9106,101102,2024-10-31
200385,7658,100803,2023-02-20
200386,3217,102228,2024-05-26
200387,11310,106656,2024-11-13
200388,2754,108641,2023-01-25
200389,5648,108584,2024-04-17
200390,7618,108044,2025-05-21
200391,8123,100816,2023-03-28
200392,4548,109645,2024-04-20
200393,2198,106320,2024-06-02
200394,2121,101648,2023-04-18
200395,9227,105503,2024-03-13
200396,10609,109829,2024-02-15
200397,5013,107111,2023-01-29
200398,8043,107367,2023-07-27
200399,10416,105210,2024-08-31
200400,5932,106396,2024-12-13
200401,9224,101837,2024-08-30
200402,2741,102447,2023-02-07
200403,5802,101969,2023-07-29
200404,6036,106575,2023-09-03
200405,11950,109322,2025-01-26
200406,10861,107530,2025-03-27
200407,4626,108695,2025-03-12
200408,10981,109992,2023-06-28
200409,5763,100736,2023-02-19
200410,8127,105848,2023-04-19
200411,6954,107651,2025-02-03
200412,4353,108601,2024-03-02
200413,10469,107748,2023-07-13
200414,5950,108870,2023-05-04
200415,9028,102142,2025-01-18
200416,1852,108030,2025-01-14
200417,8137,104295,2024-06-05
200418,7361,104623,2024-05-26
200419,7392,109949,2023-09-02
200420,6125,105458,2024-11-01
200421,9013,105029,2023-08-10
200422,8799,103854,2024-01-17
200423,6335,109903,2024-08-15
200424,9671,107696,2025-02-08
200425,2035,102908,2023-12-26
200426,2370,100592,2025-05-12
200427,1315,103280,2023-03-05
200428,11421,106226,2023-09-18
200429,6977,109469,2023-05-07
200430,2437,106251,2025-04-09
200431,8043,101834,2024-08-14
200432,1459,109316,2024-03-06
200433,9590,109425,2023-07-13
200434,3455,106055,2023-09-02
200435,11113,100616,2023-08-06
200436,10275,101251,2023-09-09
200437,9095,107838,2024-07-24
200438,3552,100649,2023-11-25
200439,10509,106445,2024-06-27
200440,2173,108448,2025-03-27
200441,11858,107823,2024-01-18
200442,3804,103858,2023-12-04
200443,5432,102916,2024-03-09
200444,11298,102813,2023-02-24
200445,2225,109802,2024-11-22
200446,4535,108993,2024-05-17
200447,4155,107866,2024-05-31
200448,2030,101864,2023-07-10
200449,9151,102583,2024-02-17
200450,9682,109655,2023-07-21
200451,4758,106036,2023-05-06
200452,7407,103781,2024-08-07
200453,2707,102090,2023-05-21
200454,9487,103622,2023-03-26
200455,7218,107539,2024-06-06
200456,7070,105500,2023-01-09
200457,4003,109301,2024-10-28
200458,4537,107199,2024-01-18
200459,10555,100909,2023-11-20
200460,5336,107903,2024-12-10
200461,10817,108110,2025-01-12
200462,7906,109217,2023-03-22
200463,7516,104926,2023-07-28
200464,1216,102057,2024-11-16
200465,4936,103469,2023-11-06
200466,10498,105231,2023-07-31
200467,5731,104058,2024-05-29
200468,11398,101254,2023-03-12
200469,11304,105414,2024-05-21
200470,5763,100519,2025-05-27
200471,9628,102306,2024-04-15
200472,2588,100822,2024-09-25
200473,4452,108448,2023-02-05
200474,3082,106235,2024-08-28
200475,11499,106114,2024-04-06
200476,10546,105773,2024-03-03
200477,3055,104204,2023-07-21
200478,3269,109448,2023-04-13
200479,6668,108780,2024-01-22
200480,7547,100079,2025-04-05
200481,8534,108800,2023-11-19
200482,5317,100272,2024-02-14
200483,9382,104461,2023-08-22
200484,9490,104467,2023-09-30
200485,1740,100991,2025-03-15
200486,11745,101106,2023-01-17
200487,4913,102391,2025-05-28
200488,7976,109716,2024-04-30
200489,4268,103162,2023-12-24
200490,4562,109578,2023-06-03
200491,1880,100023,2023-04-20
200492,8595,101164,2024-06-01
200493,8941,106811,2024-09-17
200494,10199,101862,2023-08-08
200495,2550,109605,2023-09-09
200496,6058,107345,2023-11-25
200497,3443,108662,2023-11-11
200498,8238,101271,2023-04-14
200499,1461,105324,2025-01-03
200500,8184,100616,2025-05-25
200501,3091,104909,2024-04-14
200502,6053,106482,2023-02-24
200503,10536,101516,2025-06-10
200504,6751,104691,2025-05-11
200505,11258,102644,2024-01-29
200506,3070,104947,2025-05-02
200507,5478,105298,2023-10-18
200508,6820,102666,2023-01-04
200509,2915,102023,2025-04-30
200510,3777,105599,2024-12-27
200511,4107,106380,2024-09-29
200512,11620,102780,2023-05-28
200513,10873,104096,2024-08-06
200514,4662,100065,2024-05-16
200515,1366,107288,2023-09-10
200516,10919,104835,2023-08-23
200517,4526,106307,2024-01-28
200518,1017,105580,2025-05-03
200519,4247,107738,2024-12-02
200520,813,100830,2024-03-03
200521,832,104094,2024-08-07
200522,8610,101262,2023-02-22
200523,7234,109472,2025-03-03
200524,5857,101776,2024-02-05
200525,3112,105527,2023-05-17
200526,1222,104256,2024-10-09
200527,1400,102906,2023-01-01
200528,2793,102711,2023-10-26
200529,10373,101749,2024-05-14
200530,5538,106544,2023-03-10
200531,6275,108432,2023-02-12
200532,9952,105529,2024-03-22
200533,4147,101408,2024-06-25
200534,11992,105502,2023-10-04
200535,1997,103142,2023-08-12
200536,11045,103229,2024-03-21
200537,6424,105893,2025-01-18
200538,203,102302,2024-06-14
200539,5580,109786,2025-03-30
200540,1104,105387,2024-03-17
200541,11414,105235,2024-07-19
200542,1910,107197,2024-10-24
200543,10038,101621,2024-11-13
200544,6115,107757,2024-07-15
200545,2793,109271,2023-03-02
200546,11533,105394,2023-07-01
200547,4982,109710,2023-07-02
200548,2789,101404,2025-04-13
200549,9583,101903,2024-10-20
200550,11233,101682,2024-10-28
200551,4639,102622,2024-08-07
200552,9551,109955,2023-10-04
200553,8254,101850,2023-10-25
200554,1805,104658,2023-01-08
200555,1378,103546,2025-04-15
200556,8409,105929,2024-12-11
200557,11523,106501,2024-08-14
200558,9521,103106,2024-08-17
200559,1983,104662,2025-05-25
200560,2760,106754,2023-11-26
200561,2521,100094,2023-05-04
200562,2659,100501,2023-04-21
200563,7377,104948,2023-02-13
200564,2493,100847,2024-09-26
200565,8292,104960,2024-12-19
200566,5034,107141,2024-09-25
200567,8245,108414,2024-06-17
200568,6407,106607,2024-01-08
200569,10228,104871,2024-07-10
200570,1215,108888,2023-05-31
200571,7592,103058,2025-03-29
200572,9829,102042,2023-09-11
200573,10848,106318,2024-04-13
200574,10945,105357,2024-09-13
200575,1668,106822,2023-11-16
200576,4475,109449,2023-05-07
200577,5135,103136,2025-03-25
200578,2450,101863,2024-07-27
200579,10726,100417,2023-04-08
200580,1612,103125,2023-03-05
200581,8477,105156,2023-05-21
200582,3568,101677,2024-01-03
200583,6597,108743,2025-02-24
200584,2799,103864,2023-10-24
200585,2999,108899,2023-09-14
200586,11719,100203,2025-01-14
200587,2055,102418,2025-01-13
200588,4126,106465,2023-06-28
200589,6440,107809,2025-05-03
200590,1339,103977,2025-03-10
200591,2591,100165,2023-05-23
200592,5131,104046,2025-05-05
200593,4148,102604,2023-09-05
200594,8797,106946,2024-03-27
200595,645,107344,2024-04-30
200596,6306,100486,2023-11-15
200597,2206,103243,2024-10-29
200598,10396,109668,2025-02-08
200599,8770,108086,2024-10-17
200600,11569,106990,2024-12-26
200601,6474,107697,2023-11-06
200602,849,108833,2024-12-18
200603,8180,107976,2025-06-02
200604,2197,101230,2023-02-10
200605,7354,105539,2023-07-02
200606,4786,100849,2023-01-21
200607,3951,103583,2024-12-16
200608,587,106069,2025-05-24
200609,1197,100306,2024-12-05
200610,11030,109804,2025-01-01
200611,8079,102370,2023-10-18
200612,7569,102254,2023-12-19
200613,4531,102996,2024-03-18
200614,5675,104741,2023-03-08
200615,7158,108714,2024-08-29
200616,10993,103398,2024-08-30
200617,2915,107953,2025-05-14
200618,7118,103833,2024-08-17
200619,9027,105228,2024-12-17
200620,3036,103597,2024-07-22
200621,10774,101695,2025-04-04
200622,9034,102774,2025-03-25
200623,8377,109447,2023-07-15
200624,6248,103141,2024-11-17
200625,10266,102727,2025-03-06
200626,7528,109000,2024-10-28
200627,6988,108454,2023-01-22
200628,7834,100651,2023-10-08
200629,2960,103806,2023-12-27
200630,7482,103785,2023-03-22
200631,8538,109865,2024-01-12
200632,9484,103855,2023-03-14
200633,1322,106986,2024-11-29
200634,9480,109719,2023-07-11
200635,11051,101326,2024-10-28
200636,3133,105223,2023-09-13
200637,5120,107661,2025-01-07
200638,935,105672,2023-01-08
200639,7689,100055,2024-05-22
200640,7856,106144,2023-01-07
200641,11850,109152,2024-07-18
200642,4875,109279,2023-10-17
200643,10791,109468,2024-09-16
200644,10027,106546,2023-07-22
200645,5678,107473,2024-01-22
200646,8267,106819,2024-12-22
200647,6793,102053,2025-02-26
200648,1159,103895,2024-07-13
200649,189,105331,2024-08-15
200650,5873,101196,2024-09-17
200651,4215,109052,2023-10-14
200652,5882,104554,2025-02-05
200653,2807,102669,2024-01-15
200654,9547,105453,2023-12-11
200655,1652,103214,2025-04-16
200656,3096,100567,2025-01-30
200657,5365,101103,2023-12-26
200658,4820,101578,2024-08-18
200659,6775,103411,2024-11-06
200660,11285,105807,2023-04-23
200661,11535,101631,2023-01-27
200662,9776,106730,2024-05-24
200663,5057,105614,2023-04-20
200664,11019,103775,2025-05-31
200665,7027,103759,2024-02-16
200666,5825,109919,2023-01-11
200667,5492,100499,2023-09-15
200668,1064,108049,2023-09-01
200669,8137,102333,2023-05-25
200670,3888,104274,2023-05-18
200671,6879,107977,2025-05-13
200672,8231,107637,2025-06-08
200673,648,103256,2025-04-25
200674,11116,102827,2023-08-10
200675,10377,108930,2023-04-25
200676,2293,108454,2023-03-24
200677,7232,101035,2025-03-22
200678,8624,109343,2025-02-07
200679,3770,105789,2025-05-31
200680,5034,107261,2025-01-29
200681,11174,105246,2025-06-17
200682,2278,101967,2023-03-14
200683,2642,107230,2025-02-06
200684,5197,109525,2024-03-09
200685,4001,108160,2025-04-16
200686,3563,101153,2023-03-31
200687,5011,109935,2025-05-11
200688,3373,103910,2023-04-18
200689,265,108767,2024-05-30
200690,6599,102654,2023-09-04
200691,883,107078,2025-01-19
200692,5478,109527,2023-09-23
200693,11032,100432,2023-01-28
200694,3849,108726,2023-04-08
200695,8347,100307,2023-09-07
200696,11551,106841,2023-11-01
200697,8965,106099,2025-01-02
200698,1519,100614,2023-02-15
200699,2114,101110,2024-05-27
200700,2508,104990,2023-03-19
200701,11575,104143,2023-01-25
200702,8913,101430,2024-04-03
200703,747,102208,2024-06-14
200704,4290,106925,2023-03-06
200705,6957,109014,2024-04-26
200706,8732,107301,2024-10-18
200707,10361,103139,2023-07-08
200708,1053,104613,2024-08-04
200709,9939,109404,2024-05-04
200710,177,103435,2024-11-11
200711,2104,100338,2023-10-14
200712,3076,105102,2024-11-11
200713,8120,104192,2023-08-07
200714,11866,103358,2023-11-11
200715,5005,102126,2023-04-17
200716,711,106740,2024-01-05
200717,1087,100738,2025-04-04
200718,341,104821,2025-05-13
200719,6474,100032,2023-03-09
200720,197,104789,2023-04-24
200721,3265,101999,2023-08-29
200722,5509,106003,2023-12-08
200723,7459,109359,2023-11-07
200724,2182,100776,2025-01-08
200725,7740,102405,2024-12-02
200726,11157,102096,2024-11-26
200727,3802,109778,2024-01-01
200728,6935,107607,2023-05-14
200729,10764,101395,2024-05-15
200730,6190,101258,2024-12-28
200731,8565,109829,2025-02-15
200732,9164,109537,2024-07-21
200733,8140,109073,2025-05-19
200734,7438,108047,2024-03-09
200735,7801,107176,2024-01-15
200736,1042,103568,2024-05-27
200737,7871,107614,2024-11-03
200738,1253,102111,2025-03-19
200739,3492,109937,2024-07-03
200740,1377,108734,2024-08-10
200741,3658,107479,2024-10-20
200742,10418,102634,2023-02-12
200743,4551,108302,2024-05-02
200744,3684,100637,2023-10-09
200745,5919,101916,2024-08-24
200746,4144,105228,2023-12-16
200747,8214,106716,2024-06-06
200748,1385,107476,2025-04-28
200749,11866,103660,2023-10-15
200750,1860,108824,2024-07-22
200751,11233,100502,2024-05-25
200752,9483,106599,2025-03-08
200753,5107,100657,2023-09-11
200754,10263,101753,2023-12-23
200755,7938,105227,2024-06-06
200756,5431,103158,2024-08-05
200757,1738,108837,2024-10-14
200758,5330,103907,2024-11-08
200759,6412,102298,2023-02-03
200760,5927,104570,2025-04-27
200761,5009,109846,2023-07-15
200762,3860,109561,2023-07-07
200763,7341,101330,2024-11-21
200764,9234,105181,2023-09-15
200765,510,106727,2023-08-22
200766,8464,105145,2025-05-17
200767,6890,107473,2023-01-09
200768,2299,100894,2025-01-26
200769,7672,101224,2025-02-25
200770,5819,103232,2024-04-14
200771,9158,104573,2023-07-10
200772,904,105675,2024-01-03
200773,11182,105706,2025-01-06
200774,5515,103589,2024-11-20
200775,5237,104375,2023-10-17
200776,591,107376,2025-02-16
200777,8457,109724,2024-11-24
200778,6770,107472,2024-04-24
200779,11445,108247,2025-06-14
200780,8612,108816,2025-04-01
200781,9631,102700,2024-10-21
200782,11728,102219,2025-03-29
200783,1735,100513,2025-01-28
200784,635,107464,2025-03-09
200785,2292,100150,2023-10-11
200786,355,105085,2024-05-21
200787,1115,102045,2025-03-12
200788,2848,104835,2024-02-17
200789,1731,107268,2024-01-11
200790,10956,108058,2024-07-04
200791,11352,100256,2023-10-14
200792,1553,100377,2024-12-11
200793,5090,109044,2024-03-13
200794,6699,107922,2023-03-25
200795,8550,106856,2023-09-21
200796,4480,102441,2024-03-19
200797,2066,104790,2023-11-04
200798,8153,100972,2024-12-13
200799,4240,109224,2024-07-15
200800,6790,107701,2023-03-26
200801,1884,100257,2023-05-01
200802,8227,107589,2024-04-22
200803,226,103784,2023-09-06
200804,2573,105347,2024-04-19
200805,771,104674,2024-11-06
200806,4813,103673,2025-03-15
200807,478,107596,2023-09-08
200808,2206,105046,2025-05-10
200809,6164,106933,2025-03-02
200810,8686,109279,2024-09-20
200811,7912,104201,2024-09-07
200812,11130,100981,2025-02-11
200813,3503,100935,2023-09-25
200814,3729,108412,2023-04-14
200815,7603,107247,2024-10-01
200816,9746,108196,2024-08-27
200817,9395,102339,2023-09-25
200818,6619,109399,2023-06-14
200819,4647,107654,2023-01-23
200820,4629,108641,2023-05-05
200821,1725,103140,2023-03-02
200822,1528,108383,2024-03-12
200823,4726,104016,2023-05-20
200824,4055,101372,2025-04-13
200825,4331,105854,2024-12-06
200826,6209,106089,2023-04-10
200827,8358,102044,2023-06-20
200828,7598,106017,2024-08-31
200829,1322,107777,2023-02-28
200830,354,104027,2023-10-05
200831,3966,107542,2023-10-05
200832,3241,102533,2023-12-29
200833,6248,107685,2023-10-31
200834,465,105417,2023-08-04
200835,6225,102263,2023-11-19
200836,1498,102537,2023-07-30
200837,2023,101197,2025-04-21
200838,5515,104225,2023-04-22
200839,10437,101089,2023-04-27
200840,9698,100443,2024-10-17
200841,2253,100455,2024-01-24
200842,190,108009,2023-04-15
200843,4061,106587,2024-10-27
200844,9553,103341,2023-02-24
200845,542,105907,2025-06-11
200846,2107,102893,2023-03-19
200847,11058,105068,2023-09-29
200848,2687,106945,2025-03-13
200849,7172,104004,2025-02-05
200850,5989,103280,2024-07-27
200851,4351,102230,2023-11-20
200852,6954,101965,2023-05-07
200853,6707,101781,2024-12-02
200854,5123,109354,2025-01-02
200855,10013,105097,2023-10-04
200856,2322,106769,2025-03-22
200857,11498,101398,2024-06-30
200858,4510,105398,2023-11-19
200859,3435,107186,2025-02-20
200860,5190,108771,2023-06-07
200861,6578,108683,2023-05-11
200862,11794,106042,2023-03-03
200863,8747,101745,2023-10-04
200864,10028,109512,2025-04-16
200865,10763,105095,2023-02-02
200866,2998,103138,2023-05-17
200867,3193,105691,2024-07-22
200868,6070,109719,2023-08-24
200869,5699,108376,2023-02-27
200870,11365,103380,2024-11-16
200871,10299,105461,2025-06-15
200872,10566,102809,2024-06-04
200873,8485,100496,2023-12-11
200874,460,108124,2023-11-20
200875,747,108145,2025-01-03
200876,10907,108331,2023-04-01
