call_id,customer_id,call_date,duration_minutes,call_type
300108,9884,2025-03-11,15,international
300109,7740,2025-01-15,31,local
300110,5000,2025-03-01,48,local
300111,4210,2023-06-22,31,roaming
300112,5111,2025-03-12,45,local
300113,2887,2025-05-16,35,roaming
300114,8054,2024-10-17,27,local
300115,2190,2025-02-11,48,roaming
300116,2370,2024-03-12,7,local
300117,4581,2025-05-04,46,roaming
300118,10036,2025-06-06,54,roaming
300119,7563,2024-04-04,39,roaming
300120,9836,2025-05-14,19,roaming
300121,8275,2023-03-17,38,international
300122,11355,2025-05-24,3,international
300123,11581,2024-07-18,8,local
300124,7506,2023-12-22,26,local
300125,11852,2023-01-11,19,local
300126,9160,2024-03-11,31,local
300127,2347,2023-11-28,51,roaming
300128,6435,2024-05-30,18,roaming
300129,1176,2023-01-31,25,local
300130,4521,2024-04-16,5,international
300131,5693,2024-02-06,40,local
300132,10305,2025-05-25,49,roaming
300133,8774,2025-01-26,27,international
300134,1140,2023-07-06,2,international
300135,4307,2023-04-24,23,local
300136,8231,2023-01-27,47,international
300137,8212,2024-03-07,57,international
300138,7612,2025-02-23,31,local
300139,1861,2024-03-06,38,international
300140,2270,2023-01-17,57,roaming
300141,2474,2024-11-10,16,local
300142,6231,2023-05-09,32,local
300143,6555,2024-01-16,50,local
300144,11037,2024-07-27,5,local
300145,7737,2024-07-07,38,international
300146,6343,2024-12-07,9,local
300147,5371,2023-10-29,56,local
300148,5988,2024-10-27,60,local
300149,2666,2024-08-25,2,international
300150,5889,2024-07-12,52,roaming
300151,6810,2023-08-13,46,roaming
300152,5801,2025-05-09,39,international
300153,2261,2023-10-25,53,local
300154,5564,2025-05-20,3,local
300155,4548,2025-04-27,21,local
300156,360,2025-01-20,26,roaming
300157,6247,2025-02-21,27,local
300158,6118,2024-07-23,33,local
300159,9481,2023-11-20,37,local
300160,10508,2023-09-25,14,roaming
300161,10481,2024-10-30,33,local
300162,5520,2024-06-23,41,roaming
300163,4034,2023-06-16,10,international
300164,8014,2023-02-27,11,local
300165,1759,2024-02-26,35,roaming
300166,6398,2024-02-17,43,local
300167,2634,2025-04-17,35,roaming
300168,10931,2024-12-18,12,roaming
300169,1536,2023-09-21,40,roaming
300170,9929,2024-02-08,59,international
300171,7119,2025-05-30,43,roaming
300172,10844,2025-05-23,7,roaming
300173,7901,2024-07-19,8,international
300174,4230,2024-11-22,49,roaming
300175,11448,2023-07-12,25,local
300176,1130,2023-11-20,16,roaming
300177,3612,2023-08-16,25,international
300178,10475,2025-05-18,50,international
300179,4668,2024-08-27,13,international
300180,7641,2024-12-18,19,local
300181,860,2023-08-27,19,roaming
300182,2322,2024-03-16,30,roaming
300183,4395,2025-04-11,22,international
300184,7115,2025-01-19,56,local
300185,1785,2025-02-24,22,international
300186,6537,2024-07-29,42,local
300187,6703,2023-01-04,39,international
300188,5036,2024-11-18,4,international
300189,7189,2024-06-07,32,international
300190,6841,2023-01-29,49,roaming
300191,1248,2024-04-27,60,roaming
300192,2582,2024-11-23,40,international
300193,1572,2025-06-05,55,international
300194,10295,2024-04-27,15,local
300195,7414,2023-10-27,59,roaming
300196,11787,2023-01-30,10,international
300197,9807,2024-05-24,47,roaming
300198,11467,2023-05-18,58,international
300199,3315,2023-01-13,8,roaming
300200,10064,2024-03-13,40,roaming
300201,4994,2024-02-09,54,international
300202,2499,2023-04-19,31,international
300203,6093,2024-10-30,26,international
300204,9108,2024-08-18,59,roaming
300205,8948,2024-07-02,18,local
300206,9061,2024-03-09,36,international
300207,4970,2025-05-12,15,roaming
300208,9134,2023-01-24,43,international
300209,8561,2023-10-08,7,international
300210,6126,2024-04-22,58,roaming
300211,5795,2023-12-22,48,roaming
300212,7447,2023-07-21,36,local
300213,5609,2024-10-10,28,roaming
300214,7406,2024-08-14,39,international
300215,10538,2023-05-15,34,local
300216,5633,2024-03-10,6,local
300217,10632,2023-01-22,9,roaming
300218,3714,2025-05-27,11,international
300219,6598,2023-08-09,39,local
300220,6461,2024-12-29,41,roaming
300221,4655,2025-03-08,39,international
300222,3378,2025-02-28,53,roaming
300223,7387,2024-02-07,34,international
300224,11138,2024-12-12,25,international
300225,9558,2024-02-23,19,international
300226,1792,2024-06-30,51,local
300227,11047,2024-05-08,23,local
300228,4362,2023-02-09,38,international
300229,1765,2024-10-10,37,roaming
300230,10120,2024-03-27,50,roaming
300231,5640,2023-04-27,6,international
300232,5179,2024-03-05,14,international
300233,4577,2023-03-01,27,local
300234,2497,2023-05-01,3,roaming
300235,1660,2024-01-28,53,local
300236,7100,2024-09-21,27,roaming
300237,6877,2024-05-06,11,international
300238,8263,2024-12-14,54,local
300239,3518,2023-06-29,52,local
300240,6215,2023-08-01,32,local
300241,1068,2024-08-01,27,roaming
300242,2857,2023-11-08,13,international
300243,9529,2024-05-27,5,local
300244,757,2023-02-15,28,international
300245,9115,2024-12-05,40,international
300246,2588,2024-03-08,30,local
300247,6070,2024-03-08,38,local
300248,10460,2023-11-05,47,roaming
300249,7679,2025-04-05,1,local
300250,2584,2024-09-25,53,roaming
300251,3464,2024-11-22,50,roaming
300252,4187,2024-12-03,23,international
300253,1288,2025-06-18,51,international
300254,4517,2024-01-31,2,international
300255,11237,2023-04-21,23,local
300256,19,2024-03-17,41,roaming
300257,11106,2024-02-07,23,local
300258,8990,2023-12-06,58,local
300259,821,2023-02-02,17,international
300260,6136,2024-04-25,45,roaming
300261,8343,2024-02-14,35,international
300262,10135,2023-07-06,10,local
300263,2065,2025-06-05,48,local
300264,303,2025-02-26,25,international
300265,11814,2024-11-26,40,international
300266,10596,2024-04-07,20,roaming
300267,1890,2023-11-01,18,local
300268,10462,2023-02-27,6,roaming
300269,10786,2023-01-03,14,international
300270,2359,2023-01-02,46,international
300271,9003,2024-04-23,55,local
300272,1109,2024-05-26,2,international
300273,11870,2024-03-15,27,roaming
300274,7744,2024-10-19,51,local
300275,10846,2025-04-02,46,roaming
300276,9143,2023-05-04,52,international
300277,10005,2024-02-02,10,local
300278,1321,2024-03-20,31,local
300279,2406,2023-08-29,3,international
300280,6383,2024-12-14,22,roaming
300281,3703,2024-02-11,52,international
300282,9894,2024-09-15,35,local
300283,11049,2024-10-09,47,local
300284,6658,2024-11-17,27,international
300285,8943,2025-04-15,44,local
300286,3681,2024-03-08,52,international
300287,11510,2023-06-17,11,local
300288,632,2024-07-10,25,local
300289,11221,2023-01-29,9,local
300290,3894,2025-05-28,2,roaming
300291,11439,2024-01-08,2,roaming
300292,6242,2025-04-30,16,roaming
300293,9399,2023-09-24,32,roaming
300294,3182,2023-10-29,34,roaming
300295,1177,2024-12-12,18,international
300296,104,2025-02-14,44,roaming
300297,2384,2023-09-24,45,international
300298,4948,2023-01-16,48,international
300299,9281,2024-12-08,55,international
300300,3402,2023-11-15,20,international
300301,1850,2024-11-17,30,international
300302,6171,2024-03-15,55,international
300303,1464,2025-05-01,39,international
300304,3045,2023-03-31,15,local
300305,3864,2024-08-20,60,local
300306,10168,2024-01-18,1,local
300307,11071,2025-05-20,38,international
300308,6301,2023-03-26,3,local
300309,2206,2025-04-02,7,international
300310,5566,2025-05-21,52,roaming
300311,11574,2023-01-05,36,international
300312,2459,2024-01-23,43,international
300313,11120,2023-02-04,56,roaming
300314,5440,2024-11-05,5,roaming
300315,1876,2024-09-26,15,roaming
300316,8769,2023-08-08,60,roaming
300317,1013,2024-09-09,2,international
300318,5598,2024-10-03,33,local
300319,6467,2024-11-12,58,international
300320,3058,2024-09-07,56,local
300321,9843,2023-09-06,1,international
300322,2116,2025-03-09,3,local
300323,9198,2024-01-10,38,local
300324,5732,2023-06-13,31,local
300325,1820,2023-03-22,49,roaming
300326,7185,2025-06-17,26,international
300327,6736,2024-05-18,60,local
300328,3044,2023-10-09,7,local
300329,8367,2024-02-03,60,international
300330,11921,2023-01-25,45,local
300331,8460,2023-11-16,8,local
300332,1572,2024-11-23,37,international
300333,9519,2024-09-10,41,roaming
300334,3060,2023-06-13,12,international
300335,9590,2023-07-02,45,international
300336,4175,2025-03-21,55,international
300337,449,2025-01-04,48,international
300338,7080,2023-03-29,55,international
300339,9399,2024-10-06,12,roaming
300340,2097,2023-05-18,4,roaming
300341,8040,2025-04-26,25,roaming
300342,11064,2023-10-12,53,roaming
300343,6335,2023-03-09,36,local
300344,9189,2023-06-22,23,international
300345,11283,2024-08-25,8,international
300346,3595,2023-06-30,52,local
300347,1874,2024-12-26,31,local
300348,4577,2023-12-25,25,roaming
300349,994,2025-03-09,23,local
300350,8385,2023-06-29,4,roaming
300351,10461,2023-02-09,36,international
300352,1866,2025-04-07,29,roaming
300353,35,2024-06-22,32,local
300354,3273,2023-12-15,15,roaming
300355,11772,2023-11-11,29,local
300356,2451,2023-09-29,10,local
300357,11321,2024-01-02,30,local
300358,3659,2024-03-17,24,roaming
300359,6129,2024-08-17,12,international
300360,7835,2023-01-27,32,roaming
300361,3062,2025-03-19,57,international
300362,10718,2025-01-30,37,local
300363,9853,2023-01-02,45,international
300364,11607,2024-03-16,48,roaming
300365,10082,2024-07-04,49,local
300366,1139,2025-01-15,29,local
300367,1408,2024-10-27,15,international
300368,839,2023-07-05,45,international
300369,11862,2023-03-15,25,international
300370,1514,2024-01-31,59,roaming
300371,7784,2023-07-05,53,international
300372,877,2023-06-04,10,roaming
300373,4792,2023-03-23,3,local
300374,6846,2023-06-15,7,local
300375,8758,2023-07-31,1,roaming
300376,3384,2025-05-04,12,local
300377,9482,2023-03-30,20,roaming
300378,3709,2024-10-14,8,roaming
300379,3896,2024-07-02,52,international
300380,1090,2025-03-11,22,local
300381,1481,2024-11-24,5,roaming
300382,8457,2024-08-31,11,local
300383,880,2024-05-08,53,local
300384,1306,2023-08-24,38,international
300385,2338,2024-08-04,35,roaming
300386,7732,2025-04-16,12,roaming
300387,7380,2024-04-17,5,local
300388,670,2023-11-06,10,local
300389,8315,2024-04-25,43,international
300390,8263,2023-01-24,48,roaming
300391,113,2023-01-15,48,international
300392,11044,2025-01-26,30,roaming
300393,6995,2023-10-16,11,roaming
300394,7547,2025-06-16,30,roaming
300395,565,2024-09-12,57,international
300396,8682,2025-03-12,24,local
300397,6113,2023-09-09,54,roaming
300398,10121,2023-03-09,13,roaming
300399,5287,2025-05-22,20,local
300400,3700,2023-05-06,56,roaming
300401,7546,2024-10-04,42,international
300402,4101,2024-07-04,44,roaming
300403,5491,2025-04-08,45,local
300404,9543,2024-01-03,17,international
300405,2793,2024-11-18,15,local
300406,4264,2023-09-19,3,local
300407,6112,2025-01-04,36,roaming
300408,8295,2024-01-07,51,international
300409,1042,2023-01-10,34,roaming
300410,9934,2023-06-05,41,local
300411,7270,2023-04-09,1,roaming
300412,10886,2024-04-08,18,roaming
300413,5327,2023-09-07,6,international
300414,9861,2025-05-05,41,roaming
300415,9755,2024-03-19,19,roaming
300416,6503,2024-12-15,1,roaming
300417,7350,2024-11-27,9,international
300418,4111,2024-05-26,56,international
300419,8167,2023-12-05,16,roaming
300420,8963,2023-05-02,48,international
300421,7125,2024-07-03,15,international
300422,3111,2023-05-13,18,international
300423,8586,2023-03-23,52,roaming
300424,1835,2023-01-12,55,roaming
300425,1940,2025-03-23,28,local
300426,1871,2024-09-14,34,roaming
300427,7870,2023-09-19,50,international
300428,6905,2024-08-17,50,local
300429,1475,2024-03-05,36,roaming
300430,1456,2025-04-05,56,roaming
300431,5652,2024-11-25,44,local
300432,6363,2023-10-22,40,local
300433,11687,2024-09-21,2,international
300434,773,2024-10-09,18,international
300435,5591,2023-04-29,39,roaming
300436,6173,2023-10-23,54,roaming
300437,2963,2023-09-02,48,local
300438,6233,2024-12-12,28,local
300439,10106,2023-01-15,8,international
300440,10703,2023-10-06,51,roaming
300441,4807,2023-06-17,21,local
300442,4404,2025-05-28,27,international
300443,1956,2024-09-05,14,local
300444,6271,2025-01-01,59,roaming
300445,4857,2025-04-24,32,local
300446,11265,2024-08-16,2,roaming
300447,7853,2023-12-28,13,international
300448,8741,2024-10-31,37,roaming
300449,3339,2023-06-15,47,international
300450,3416,2023-12-04,43,roaming
300451,11850,2025-04-25,24,local
300452,3863,2023-07-15,15,local
300453,11724,2024-02-23,48,roaming
300454,6107,2023-10-02,13,local
300455,4010,2023-07-07,18,international
300456,9290,2023-08-13,23,international
300457,2021,2024-03-04,40,international
300458,9038,2024-06-12,51,local
300459,10764,2024-05-23,52,international
300460,7896,2025-03-26,11,local
300461,5047,2023-08-24,60,roaming
300462,8155,2025-05-26,8,roaming
300463,8402,2024-07-15,44,international
300464,2322,2024-04-21,55,local
300465,6160,2025-01-11,40,international
300466,5183,2024-03-02,19,international
300467,5889,2025-01-21,14,roaming
300468,2660,2024-06-17,17,local
300469,3329,2023-09-30,32,international
300470,9795,2024-02-16,20,roaming
300471,6078,2024-12-11,18,international
300472,8,2024-03-03,26,roaming
300473,9733,2024-08-28,47,international
300474,2450,2023-12-15,14,local
300475,8442,2023-07-13,26,roaming
300476,3805,2023-01-06,56,roaming
300477,9066,2023-01-31,5,local
300478,10612,2024-11-15,54,roaming
300479,8018,2023-06-29,8,roaming
300480,3110,2024-08-04,35,roaming
300481,3099,2025-01-16,2,local
300482,587,2024-12-12,2,international
300483,7014,2024-10-04,42,international
300484,7331,2025-04-25,11,roaming
300485,3326,2024-07-03,28,roaming
300486,2017,2024-02-22,47,local
300487,1249,2024-07-12,53,international
300488,1145,2024-08-18,7,local
300489,11933,2025-05-17,49,international
300490,11096,2023-10-05,4,roaming
300491,6769,2024-08-29,22,roaming
300492,526,2025-03-11,24,roaming
300493,1235,2024-06-08,53,international
300494,761,2023-10-31,42,international
300495,7993,2023-09-05,23,local
300496,3860,2025-04-06,8,roaming
300497,8666,2023-11-06,38,international
300498,4806,2023-03-07,25,local
300499,2991,2023-06-18,34,international
300500,5811,2024-02-21,55,local
300501,3771,2024-03-08,27,roaming
300502,81,2025-04-12,57,local
300503,3655,2023-12-10,10,roaming
300504,1520,2024-05-24,41,roaming
300505,10775,2023-05-18,57,local
300506,1930,2025-05-23,36,local
300507,8759,2024-08-10,5,local
300508,449,2025-04-12,45,international
300509,1216,2023-01-21,10,international
300510,1408,2024-09-17,2,international
300511,10504,2024-06-17,6,international
300512,7533,2025-06-07,41,roaming
300513,6876,2024-11-14,4,roaming
300514,5454,2024-01-22,9,local
300515,3555,2023-02-06,38,international
300516,7516,2024-08-13,48,roaming
300517,7379,2024-02-18,33,roaming
300518,5518,2025-01-13,18,local
300519,4278,2025-03-21,42,international
300520,4487,2023-11-29,33,local
300521,10003,2023-11-28,17,international
300522,3372,2025-06-05,55,international
300523,3404,2023-09-12,15,local
300524,686,2023-08-17,47,local
300525,4464,2024-04-12,7,international
300526,10939,2024-02-19,52,local
300527,3860,2023-10-19,42,local
300528,5997,2023-09-11,48,roaming
300529,766,2023-05-04,59,local
300530,10378,2024-06-22,52,roaming
300531,1461,2024-08-30,19,local
300532,64,2023-04-22,6,local
300533,9629,2023-12-19,9,local
300534,7998,2024-11-10,47,roaming
300535,1673,2024-07-02,32,roaming
300536,10758,2023-10-27,7,international
300537,6332,2023-12-23,27,international
300538,10672,2023-08-31,29,local
300539,8088,2023-02-08,41,international
300540,11310,2023-08-30,41,roaming
300541,7780,2023-07-19,49,international
300542,11533,2024-01-12,6,international
300543,3867,2024-01-18,16,international
300544,5760,2025-01-29,17,international
300545,2710,2023-05-10,10,roaming
300546,8773,2024-12-27,20,international
300547,6629,2024-02-01,3,local
300548,10016,2024-05-13,20,roaming
300549,24,2024-08-12,59,local
300550,10592,2023-06-07,25,local
300551,9937,2023-08-20,24,roaming
300552,1609,2024-01-13,7,international
300553,1583,2024-07-11,51,international
300554,10194,2025-04-24,59,international
300555,930,2023-03-01,20,roaming
300556,9920,2025-04-02,26,international
300557,7123,2023-01-08,36,international
300558,6335,2024-07-30,24,international
300559,10983,2023-10-06,39,international
300560,6191,2025-02-01,45,roaming
300561,7649,2024-04-18,24,international
300562,7020,2025-06-17,49,local
300563,2629,2023-09-09,19,local
300564,744,2023-03-25,49,roaming
300565,5372,2023-05-17,12,roaming
300566,431,2023-10-28,2,roaming
300567,1467,2024-01-01,2,international
300568,7053,2023-06-18,38,roaming
300569,4429,2023-06-24,2,local
300570,2422,2025-02-02,7,international
300571,2240,2025-03-06,12,local
300572,9701,2023-11-04,15,international
300573,2852,2023-07-11,2,roaming
300574,2252,2023-11-01,56,local
300575,11030,2024-09-05,36,roaming
300576,5890,2024-04-19,30,roaming
300577,8390,2024-05-01,14,international
300578,1809,2024-11-16,46,local
300579,7306,2023-06-02,14,local
300580,11756,2024-12-20,30,local
300581,5168,2024-05-19,7,roaming
300582,3473,2024-02-04,48,local
300583,8211,2024-03-31,30,international
300584,9468,2024-05-24,33,roaming
300585,5896,2023-08-02,48,roaming
300586,5956,2023-06-16,21,roaming
300587,5223,2025-06-08,16,international
300588,5303,2024-10-12,48,roaming
300589,9348,2023-12-15,8,international
300590,4428,2023-04-18,19,local
300591,6898,2023-02-25,19,local
300592,8972,2024-05-19,9,international
300593,3855,2023-01-03,35,roaming
300594,4820,2024-07-25,49,international
300595,11971,2023-02-03,28,international
300596,10656,2023-05-02,60,international
300597,4920,2025-01-25,10,international
300598,11311,2023-02-21,37,roaming
300599,6254,2024-08-15,13,local
300600,8141,2023-12-06,45,international
300601,9404,2024-11-30,4,local
300602,5348,2023-12-31,2,roaming
300603,8943,2023-01-02,56,international
300604,3311,2024-08-09,22,roaming
300605,4724,2023-12-07,18,international
300606,111,2024-10-04,21,roaming
300607,10819,2024-10-22,12,roaming
300608,6373,2023-12-19,16,international
300609,753,2025-05-16,56,international
300610,7768,2024-02-25,47,roaming
300611,1009,2024-09-14,36,international
300612,6495,2024-07-15,16,international
300613,889,2023-12-30,7,roaming
300614,3886,2023-10-11,20,local
300615,2987,2024-04-13,24,international
300616,4290,2024-10-11,32,roaming
300617,867,2023-05-08,59,international
300618,2907,2024-08-26,22,local
300619,3937,2024-10-06,13,international
300620,9435,2023-09-08,25,roaming
300621,3686,2023-11-03,3,local
300622,1682,2023-05-07,2,international
300623,5667,2023-11-02,49,roaming
300624,8513,2023-02-12,41,roaming
300625,10345,2023-10-22,25,local
300626,6466,2024-01-04,13,international
300627,10399,2024-08-16,14,local
300628,10162,2024-03-09,27,international
300629,3234,2023-11-14,39,local
300630,6804,2024-01-20,56,local
300631,6125,2025-01-30,21,international
300632,7367,2023-07-14,55,roaming
300633,9421,2023-02-10,17,international
300634,5513,2024-10-14,19,local
300635,6821,2023-07-10,52,local
300636,3162,2023-03-24,39,roaming
300637,3468,2023-03-17,45,local
300638,11242,2023-03-18,46,local
300639,9099,2023-05-08,8,roaming
300640,667,2023-08-11,35,international
300641,7722,2023-07-15,60,roaming
300642,8981,2023-01-27,57,local
300643,7310,2025-01-28,32,roaming
300644,9854,2025-03-14,53,roaming
300645,1542,2025-05-29,37,roaming
300646,6602,2024-07-19,50,international
300647,178,2024-12-11,60,international
300648,6318,2024-03-16,33,roaming
300649,8308,2023-11-02,60,local
300650,3216,2023-04-01,28,international
300651,533,2024-09-03,35,local
300652,3689,2024-06-29,5,roaming
300653,2948,2024-05-17,9,international
300654,9935,2025-02-03,3,local
300655,4415,2023-02-25,24,international
300656,3265,2024-09-02,15,international
300657,6171,2024-09-28,34,roaming
300658,8539,2023-09-29,31,roaming
300659,4018,2024-06-11,57,international
300660,4066,2024-08-29,21,local
300661,7982,2023-07-02,24,roaming
300662,8475,2023-01-13,6,international
300663,3804,2024-11-13,60,international
300664,8540,2023-10-16,37,international
300665,2504,2025-06-05,2,local
300666,3351,2023-07-06,54,local
300667,579,2023-06-16,1,local
300668,11805,2024-09-14,9,international
300669,10755,2024-07-02,58,international
300670,992,2025-05-15,8,international
300671,3754,2024-06-03,23,international
300672,11300,2024-01-08,24,international
300673,809,2023-12-20,7,roaming
300674,8912,2023-04-05,53,roaming
300675,7643,2025-05-18,44,international
300676,1503,2023-11-05,11,international
300677,6870,2023-05-22,19,international
300678,3713,2024-02-26,32,international
300679,11574,2023-01-04,53,international
300680,10313,2025-02-24,45,local
300681,1423,2023-01-17,33,local
300682,875,2024-10-08,57,local
300683,10556,2025-06-06,26,international
300684,10125,2023-04-16,13,international
300685,10755,2024-08-26,31,international
300686,8620,2024-08-29,23,international
300687,4357,2023-05-24,24,local
300688,8056,2023-12-13,48,local
300689,1479,2024-03-29,32,roaming
300690,1150,2023-01-07,24,local
300691,7239,2023-06-29,23,international
300692,5638,2024-01-30,15,local
300693,8138,2023-07-22,17,local
300694,5037,2024-07-13,36,roaming
300695,1216,2024-09-24,4,local
300696,508,2023-01-26,11,international
300697,2900,2023-01-23,59,local
300698,2172,2024-04-05,30,international
300699,461,2024-02-03,26,local
300700,6116,2024-11-16,38,international
300701,7715,2024-07-11,31,international
300702,4888,2023-04-24,7,local
300703,11992,2024-05-30,20,roaming
300704,4703,2023-06-28,6,international
300705,2875,2025-03-19,32,international
300706,10344,2023-06-02,5,roaming
300707,10191,2023-09-20,4,roaming
300708,4707,2025-05-30,31,roaming
300709,11857,2024-07-30,55,roaming
300710,1414,2023-07-27,28,international
300711,1814,2024-03-23,5,roaming
300712,6842,2024-06-21,19,roaming
300713,10951,2025-05-19,33,roaming
300714,9285,2024-09-05,42,local
300715,10369,2023-06-06,25,local
300716,11305,2024-06-27,45,local
300717,7397,2025-06-19,39,international
300718,1419,2023-11-10,23,roaming
300719,5639,2023-01-04,38,international
300720,3920,2025-06-13,49,local
300721,3207,2023-02-17,39,roaming
300722,7809,2023-02-17,15,roaming
300723,2647,2024-12-22,18,local
300724,9707,2024-07-13,24,roaming
300725,2554,2024-05-23,4,international
300726,10077,2024-04-01,41,roaming
300727,3791,2023-10-12,20,international
300728,6388,2025-06-19,14,roaming
300729,4826,2024-01-28,17,international
300730,4219,2024-08-05,28,international
300731,9301,2023-05-05,16,local
300732,1362,2023-01-15,5,international
300733,2083,2025-05-07,11,roaming
300734,1213,2025-06-03,41,roaming
300735,1529,2023-12-26,57,roaming
300736,5823,2024-07-07,35,local
300737,2687,2023-07-20,28,roaming
300738,9190,2024-06-23,27,international
300739,543,2024-06-04,43,roaming
300740,2836,2023-08-26,10,local
300741,6086,2023-04-14,5,local
300742,10758,2024-08-22,22,roaming
300743,2705,2023-06-26,21,roaming
300744,4334,2024-08-12,44,international
300745,5925,2024-04-05,2,local
300746,1311,2024-04-25,26,roaming
300747,10799,2023-04-16,4,local
300748,10710,2023-08-08,54,local
300749,4558,2024-04-26,4,international
300750,3081,2023-02-28,33,local
300751,4793,2023-03-22,18,local
300752,3651,2024-03-25,23,international
300753,4518,2024-12-26,22,roaming
300754,4488,2025-04-30,49,international
300755,10652,2023-05-06,29,local
300756,10508,2023-07-18,1,local
300757,6660,2023-12-13,45,international
300758,8320,2024-04-11,26,international
300759,7352,2024-06-27,6,international
300760,9232,2023-03-17,27,international
300761,5787,2023-12-10,41,roaming
300762,1524,2025-03-20,29,local
300763,9138,2024-02-01,17,local
300764,1255,2025-02-25,14,international
300765,869,2023-04-27,31,local
300766,4981,2024-05-10,59,local
300767,2844,2025-04-15,44,local
300768,9951,2025-03-25,45,international
300769,5418,2023-07-25,7,roaming
300770,6643,2024-12-24,52,international
300771,1333,2024-01-29,19,international
300772,1614,2024-07-14,43,local
300773,5463,2023-10-02,55,local
300774,458,2024-06-15,21,roaming
300775,3683,2024-06-14,48,local
300776,10892,2024-11-10,39,international
300777,2614,2023-01-20,50,international
300778,10091,2024-02-12,45,local
300779,11405,2024-09-20,38,local
300780,10313,2024-09-22,30,roaming
300781,8880,2025-03-23,38,international
300782,5393,2025-01-26,37,roaming
300783,1307,2023-08-20,7,local
300784,9110,2024-05-26,2,roaming
300785,8576,2024-04-15,34,roaming
300786,1254,2023-12-08,29,international
300787,11372,2024-08-21,60,roaming
300788,1973,2024-03-08,55,international
300789,1104,2024-03-09,57,international
300790,7104,2024-04-28,4,roaming
300791,9426,2024-06-22,58,international
300792,7052,2024-05-19,52,roaming
300793,8765,2023-12-04,8,roaming
300794,6971,2024-07-17,12,local
