usage_id,customer_id,usage_date,data_used_mb
400262,6238,2023-10-13,759
400263,7022,2023-08-03,2511
400264,2274,2025-06-11,1729
400265,519,2024-10-04,4973
400266,7368,2024-06-18,1047
400267,1891,2024-08-15,2180
400268,5859,2023-09-24,2273
400269,8385,2024-07-07,389
400270,8860,2025-05-10,3986
400271,3769,2025-02-05,3221
400272,1086,2023-07-05,3494
400273,1665,2023-07-02,3360
400274,3161,2024-08-11,4380
400275,3148,2023-07-22,3112
400276,961,2023-09-24,4985
400277,3618,2024-02-01,3924
400278,7299,2024-04-19,3556
400279,3463,2025-02-04,4454
400280,5457,2024-04-28,1131
400281,7153,2023-06-04,3398
400282,775,2024-01-19,3520
400283,1130,2023-10-07,1012
400284,9118,2024-09-22,1276
400285,3629,2023-11-06,584
400286,10331,2025-01-31,592
400287,1441,2024-08-17,3395
400288,11672,2025-06-19,1396
400289,9281,2024-12-07,4827
400290,2733,2024-06-27,2596
400291,2509,2023-12-08,452
400292,8535,2025-03-22,4016
400293,6849,2023-08-27,4993
400294,7344,2025-04-05,824
400295,10040,2024-12-19,986
400296,537,2023-09-03,1859
400297,8208,2024-08-09,1380
400298,8830,2025-03-20,150
400299,8172,2024-09-12,4225
400300,4567,2023-05-08,3874
400301,1305,2023-01-25,1319
400302,10619,2023-10-25,2779
400303,1153,2024-08-15,4799
400304,1795,2024-05-04,1939
400305,9763,2023-09-05,613
400306,6824,2024-08-13,3808
400307,11482,2025-01-01,2199
400308,10760,2024-03-02,1448
400309,7564,2025-01-24,4724
400310,9033,2024-07-10,3717
400311,7575,2024-11-17,344
400312,9380,2025-02-16,777
400313,11554,2024-05-30,1433
400314,4784,2024-11-25,4782
400315,10259,2023-02-05,3211
400316,7422,2024-02-04,2799
400317,3378,2023-09-01,3337
400318,3672,2025-01-07,2039
400319,373,2023-04-05,4729
400320,10699,2024-09-24,3548
400321,5907,2024-03-25,1525
400322,4934,2025-05-24,3487
400323,7611,2023-10-14,3155
400324,8681,2025-04-28,4248
400325,5977,2023-02-05,863
400326,7109,2023-07-02,3467
400327,1103,2024-11-24,2314
400328,8397,2023-04-26,2614
400329,2214,2024-12-24,1036
400330,4087,2025-05-21,4303
400331,832,2023-06-29,1499
400332,5496,2025-06-08,629
400333,7938,2024-01-01,450
400334,10062,2023-10-10,1515
400335,2199,2023-03-25,2786
400336,51,2023-12-12,4121
400337,4150,2025-03-16,2248
400338,5493,2023-12-03,185
400339,11197,2023-02-25,4521
400340,6185,2023-04-11,4945
400341,1056,2024-07-14,4574
400342,631,2025-06-08,1181
400343,5141,2025-03-02,2312
400344,379,2023-12-08,3808
400345,7518,2025-04-09,4010
400346,10941,2025-04-15,50
400347,5322,2023-11-28,2607
400348,10014,2024-02-13,310
400349,1795,2023-11-21,2629
400350,9536,2025-04-10,4220
400351,9484,2024-11-05,1335
400352,8116,2025-04-05,327
400353,5826,2025-05-06,4612
400354,9122,2025-06-11,4046
400355,4300,2025-03-02,2041
400356,3751,2023-07-18,3031
400357,11270,2024-03-01,2655
400358,11134,2024-01-11,4755
400359,4768,2024-10-22,4250
400360,8825,2023-10-13,4028
400361,5673,2023-12-06,3060
400362,4231,2023-04-10,2034
400363,11788,2024-11-26,1575
400364,6195,2025-04-18,180
400365,4835,2025-04-23,4953
400366,4796,2023-08-22,2624
400367,2521,2024-09-26,1265
400368,4075,2023-03-01,2663
400369,6637,2023-03-09,864
400370,5774,2023-06-30,4046
400371,2359,2024-05-13,3750
400372,3451,2024-06-14,1468
400373,58,2023-05-29,3327
400374,4214,2023-01-28,3873
400375,6770,2025-05-22,2956
400376,5636,2025-06-12,4525
400377,589,2023-08-25,4373
400378,5390,2024-12-18,4204
400379,11362,2025-04-07,3651
400380,2732,2024-10-20,122
400381,990,2023-01-16,100
400382,3052,2023-07-28,2396
400383,1441,2023-10-20,1733
400384,2414,2023-07-25,2883
400385,3516,2025-05-19,3089
400386,5778,2024-10-09,3676
400387,5942,2023-12-29,936
400388,4766,2025-01-29,1199
400389,11725,2023-01-17,1912
400390,3955,2024-07-10,1973
400391,3724,2024-05-10,4948
400392,220,2024-06-05,2243
400393,6209,2023-01-13,4844
400394,11514,2025-04-23,1973
400395,11926,2024-02-29,3668
400396,5148,2025-02-04,4228
400397,11128,2025-06-18,2383
400398,5248,2025-02-08,4089
400399,7070,2024-08-16,2546
400400,1331,2025-05-11,2618
400401,8973,2024-02-27,3843
400402,10757,2024-03-06,2952
400403,1768,2023-04-14,733
400404,10384,2024-05-13,674
400405,1773,2024-07-15,696
400406,2821,2025-03-05,4960
400407,8310,2024-05-25,610
400408,6242,2024-09-08,2350
400409,5900,2025-04-25,2861
400410,5907,2025-04-23,2324
400411,8709,2023-04-10,1153
400412,11408,2023-10-23,2367
400413,4008,2023-05-24,1374
400414,2711,2025-06-10,229
400415,11476,2024-10-04,4385
400416,7975,2024-04-07,2868
400417,4777,2024-02-16,1079
400418,9542,2024-01-20,4928
400419,3581,2025-04-17,2459
400420,7362,2023-06-27,814
400421,5464,2025-03-16,288
400422,8688,2023-10-04,1258
400423,1815,2023-09-17,2876
400424,1172,2023-02-18,340
400425,9812,2024-05-16,1752
400426,5322,2023-06-30,168
400427,605,2023-02-06,3239
400428,3176,2023-07-22,2043
400429,9144,2024-11-06,4480
400430,7685,2025-05-27,115
400431,939,2025-04-23,393
400432,8020,2025-04-24,4885
400433,883,2023-03-27,1783
400434,1901,2024-09-24,4622
400435,6140,2025-04-16,554
400436,4594,2024-01-17,1191
400437,285,2025-03-30,2882
400438,11278,2024-11-14,3421
400439,1606,2024-07-10,3838
400440,10327,2024-11-21,2398
400441,1494,2024-07-11,2952
400442,1993,2024-09-27,2954
400443,4823,2024-05-26,2570
400444,6330,2024-06-23,2222
400445,7982,2023-09-12,2078
400446,8138,2025-05-19,2910
400447,469,2024-09-30,4289
400448,7842,2025-04-06,621
400449,942,2023-11-15,1177
400450,8411,2024-11-08,4367
400451,3345,2023-05-13,1450
400452,2821,2025-01-25,3883
400453,4616,2024-04-15,3828
400454,11540,2023-06-04,473
400455,3760,2023-08-17,2578
400456,8215,2025-01-24,1465
400457,8517,2024-09-20,565
400458,1588,2024-12-08,4430
400459,2639,2024-05-11,3627
400460,10224,2024-04-19,1480
400461,2708,2025-05-04,2352
400462,11736,2024-03-03,237
400463,1845,2024-11-04,4896
400464,4075,2025-04-19,233
400465,9177,2023-09-18,2202
400466,11062,2024-04-18,125
400467,9452,2023-11-06,3097
400468,2288,2025-03-01,1269
400469,5340,2023-08-27,3494
400470,1873,2024-11-14,2320
400471,8111,2024-02-25,4516
400472,4709,2023-06-18,4429
400473,3514,2025-01-11,4452
400474,9046,2024-07-17,1647
400475,348,2025-02-27,664
400476,6114,2023-10-30,2017
400477,3610,2023-10-19,3848
400478,67,2023-11-19,1151
400479,4989,2023-08-15,2112
400480,5439,2024-11-18,1424
400481,11302,2024-08-20,1407
400482,7709,2024-07-28,3237
400483,3628,2023-06-05,575
400484,1061,2025-04-26,4254
400485,5487,2023-03-13,1975
400486,10554,2023-08-31,4993
400487,11920,2023-08-12,4707
400488,8972,2023-07-16,2179
400489,3267,2024-12-01,3979
400490,8465,2025-04-13,2228
400491,5201,2023-09-11,4000
400492,4889,2024-06-26,1823
400493,4854,2025-03-11,2473
400494,8287,2023-07-26,2422
400495,5617,2024-12-23,4952
400496,9614,2024-10-11,3418
400497,1570,2024-09-24,2596
400498,11852,2023-01-01,2052
400499,8468,2024-03-24,1984
400500,970,2025-04-14,3832
400501,2473,2023-04-16,451
400502,2653,2024-03-11,4386
400503,9938,2023-09-15,3059
400504,122,2025-06-04,3171
400505,7804,2024-01-16,2662
400506,11502,2023-02-01,2753
400507,7448,2024-03-14,4481
400508,5367,2023-09-07,2243
400509,4846,2023-07-28,2495
400510,6378,2024-04-27,2114
400511,9033,2024-06-25,424
400512,2558,2023-07-11,1302
400513,5655,2025-04-06,4949
400514,6153,2024-10-21,1385
400515,5519,2024-02-05,809
400516,4931,2024-04-27,3276
400517,11812,2024-06-10,3229
400518,10854,2023-05-26,2143
400519,9388,2025-02-08,4428
400520,3030,2024-03-04,4076
400521,7929,2024-01-18,1777
400522,9552,2023-07-20,4738
400523,3229,2023-01-15,161
400524,3503,2025-04-09,2545
400525,4533,2024-02-05,2273
400526,8065,2025-03-19,984
400527,10324,2023-04-12,2476
400528,2524,2023-10-13,3629
400529,4128,2024-04-24,2131
400530,618,2023-03-03,182
400531,6017,2024-02-23,877
400532,6647,2023-04-20,4340
400533,4706,2024-01-23,2459
400534,8614,2024-03-27,135
400535,11006,2024-03-25,486
400536,7571,2024-07-14,4255
400537,9378,2024-02-22,408
400538,8681,2024-01-18,1357
400539,2539,2023-08-20,1086
400540,10029,2024-03-12,1547
400541,10378,2023-08-15,2207
400542,10482,2023-02-27,969
400543,204,2023-09-25,3320
400544,2725,2023-07-30,4447
400545,8464,2024-01-11,281
400546,6283,2023-12-26,383
400547,9892,2023-10-27,1978
400548,1082,2023-02-01,3210
400549,11882,2025-02-24,312
400550,4510,2024-07-04,3346
400551,9249,2023-07-19,2883
400552,7930,2023-07-05,2006
400553,5047,2024-04-16,4743
400554,10781,2025-03-30,3331
400555,4732,2024-02-14,4814
400556,11871,2023-01-13,88
400557,10094,2023-09-27,4142
400558,9025,2023-11-29,4703
400559,9406,2023-04-27,860
400560,3581,2025-06-13,3267
400561,9528,2024-03-08,3351
400562,2256,2024-02-24,143
400563,9722,2023-07-24,1589
400564,3526,2023-04-20,3655
400565,3111,2024-02-17,1050
400566,3028,2023-08-06,4026
400567,7299,2024-06-04,4085
400568,4302,2025-03-26,3486
400569,11874,2023-03-29,4393
400570,8122,2023-05-24,1422
400571,10456,2023-09-25,4725
400572,11997,2024-03-30,4836
400573,5547,2024-07-22,2435
400574,3007,2025-01-05,2026
400575,8569,2025-01-08,1487
400576,3309,2024-03-14,2828
400577,6636,2024-05-18,2711
400578,4660,2023-08-29,89
400579,272,2023-11-20,1662
400580,6267,2024-06-24,2983
400581,4205,2024-01-10,828
400582,3012,2025-06-17,4845
400583,11636,2025-06-17,3896
400584,7373,2023-05-14,2448
400585,8226,2023-08-18,403
400586,3379,2025-06-19,3999
400587,5534,2025-05-11,4708
400588,7900,2023-11-18,2882
400589,3491,2024-10-04,2346
400590,1391,2023-05-30,777
400591,3159,2023-06-28,4961
400592,1305,2023-09-24,422
400593,3483,2024-04-05,1464
400594,2850,2024-08-26,598
400595,11461,2023-10-06,3264
400596,7643,2023-03-19,2759
400597,7043,2023-12-15,4210
400598,6373,2023-12-20,2041
400599,4593,2024-02-07,4939
400600,4013,2024-10-23,1255
400601,8612,2025-04-28,4358
400602,3070,2024-07-12,1052
400603,3832,2024-02-02,4178
400604,3750,2023-08-21,3240
400605,5158,2023-06-06,4263
400606,25,2024-06-15,2115
400607,7938,2025-06-03,3098
400608,4785,2024-10-22,251
400609,1454,2024-04-30,1520
400610,6503,2023-08-12,3753
400611,279,2024-12-13,1453
400612,7679,2025-01-17,2060
400613,1490,2025-05-24,951
400614,3974,2024-03-26,2564
400615,9395,2023-12-07,3339
400616,6545,2024-11-27,1328
400617,4737,2023-08-21,1207
400618,11999,2024-12-20,2334
400619,4996,2024-12-28,4711
400620,6099,2024-08-16,3301
400621,7854,2024-04-01,3545
400622,1824,2024-11-24,3623
400623,1517,2024-01-14,487
400624,3453,2025-03-24,998
400625,10801,2024-01-18,1434
400626,11888,2023-04-16,4796
400627,8053,2023-05-26,2122
400628,6125,2024-01-31,3840
400629,10485,2023-04-27,169
400630,6211,2024-12-01,4640
400631,1650,2024-01-02,516
400632,8330,2024-09-30,1190
400633,11578,2023-04-19,3838
400634,8433,2025-03-15,196
400635,7246,2023-02-13,4882
400636,11311,2025-04-23,864
400637,6293,2023-02-24,2119
400638,11341,2024-10-17,2314
400639,5118,2024-05-13,2103
400640,6903,2023-04-03,204
400641,9046,2023-06-05,4399
400642,10254,2025-04-28,111
400643,8563,2024-11-20,717
400644,469,2023-05-22,3578
400645,9789,2023-06-23,3138
400646,11819,2024-02-27,4669
400647,2324,2024-09-08,2874
400648,424,2025-02-03,2026
400649,9341,2024-11-25,4426
400650,2379,2023-01-15,123
400651,3002,2024-06-21,2602
400652,4825,2023-09-01,659
400653,11213,2023-09-02,1118
400654,692,2023-11-01,3885
400655,10627,2023-04-10,1687
400656,2885,2023-10-14,1929
400657,9843,2023-08-24,3304
400658,3917,2024-02-21,2525
400659,7728,2024-03-22,4769
400660,2331,2024-04-07,212
400661,6547,2023-02-21,2174
400662,2209,2024-10-20,2906
400663,6305,2023-03-09,1409
400664,375,2023-10-07,4113
400665,1502,2024-04-14,3511
400666,9650,2024-03-26,280
400667,3326,2023-08-15,2491
400668,4179,2023-12-13,2507
400669,759,2023-06-13,1768
400670,7841,2023-06-10,1608
400671,9572,2025-04-14,3777
400672,2541,2025-06-04,4436
400673,2083,2023-03-17,4468
400674,235,2023-04-11,2160
400675,2543,2024-07-23,3885
400676,8750,2023-06-26,3581
400677,3703,2024-07-23,983
400678,11917,2024-01-16,1321
400679,2253,2025-04-02,4276
400680,9063,2023-06-14,84
400681,4533,2024-10-24,3897
400682,7901,2024-02-09,1717
400683,8196,2023-02-23,1055
400684,3708,2024-02-19,4310
400685,4209,2025-02-02,3474
400686,6141,2024-11-14,4260
400687,11580,2023-10-14,987
400688,975,2024-02-10,1143
400689,2797,2024-04-13,3188
400690,4204,2023-04-01,4774
400691,9235,2023-04-02,933
400692,9335,2025-06-02,530
400693,8845,2024-03-29,4331
400694,1893,2024-11-21,1876
400695,7218,2024-11-25,935
400696,6497,2023-01-16,4739
400697,7840,2025-01-16,1931
400698,11977,2023-02-10,3078
400699,1939,2023-03-17,2584
400700,9681,2024-01-26,121
400701,7667,2024-06-08,1725
400702,6824,2024-11-07,598
400703,8739,2023-11-20,4858
400704,5298,2024-08-02,3726
400705,11718,2025-03-11,4153
400706,2933,2023-04-10,2147
400707,1752,2023-06-01,3966
400708,5081,2024-09-08,1284
400709,5833,2024-12-25,3771
400710,1988,2023-10-07,4431
400711,3773,2023-01-21,2792
400712,636,2025-06-04,2246
400713,4392,2023-12-20,3420
400714,6579,2024-05-15,2075
400715,9998,2023-11-16,750
400716,9993,2024-05-08,4089
400717,227,2023-08-21,613
400718,2148,2024-05-06,1209
400719,7758,2023-04-06,467
400720,6825,2024-05-12,4941
400721,5657,2023-04-11,3902
400722,9057,2024-05-20,1059
400723,2414,2023-12-29,4326
400724,247,2023-04-01,333
400725,865,2024-04-12,4720
400726,1725,2025-06-03,2489
400727,6092,2024-02-01,3169
400728,7269,2025-04-26,3156
400729,8335,2023-10-09,3012
400730,3894,2024-07-22,875
400731,1707,2024-01-10,4804
400732,5810,2024-11-30,3722
400733,7091,2024-04-02,1331
400734,1622,2023-02-16,912
400735,1680,2024-08-26,3558
400736,2403,2023-01-18,3610
400737,6100,2023-01-14,4965
400738,8776,2025-06-01,3907
400739,1556,2025-04-11,1317
400740,10966,2025-04-25,4147
400741,8218,2025-01-06,2197
400742,10060,2024-02-10,2172
400743,651,2023-12-09,2210
400744,3196,2023-05-07,2931
400745,34,2024-02-02,4265
400746,9918,2023-10-29,3426
400747,4840,2024-12-25,4855
400748,1392,2024-05-11,4087
400749,3401,2023-04-26,3628
400750,4004,2023-02-17,3398
400751,2237,2024-04-01,2540
400752,11122,2023-09-07,1266
400753,10119,2023-05-31,1228
400754,268,2023-03-13,2326
400755,5765,2024-10-04,1738
400756,6957,2025-05-04,2220
400757,5526,2025-05-14,625
400758,2120,2025-01-28,2674
400759,4946,2023-07-29,3293
400760,11397,2023-11-02,2109
400761,10694,2023-10-14,4569
400762,11155,2024-09-13,1038
400763,2206,2023-10-27,3745
400764,9048,2023-12-28,2049
400765,553,2023-05-22,130
400766,9453,2024-11-16,1148
400767,6404,2023-11-08,2153
400768,9874,2024-04-23,3222
400769,155,2023-03-25,885
400770,2,2023-11-07,3512
400771,4198,2025-04-15,4044
400772,2287,2025-01-19,249
400773,2756,2023-01-11,4013
400774,9741,2023-11-25,2834
400775,10165,2023-04-13,2182
400776,9319,2024-06-13,3793
400777,3569,2023-07-01,1546
400778,9952,2025-02-25,1059
400779,11510,2025-05-27,3313
400780,5264,2023-06-04,527
400781,409,2025-01-22,4960
400782,615,2023-09-22,4980
400783,1016,2024-04-11,3593
400784,11968,2024-03-15,4035
400785,378,2023-09-17,1316
400786,6338,2023-10-08,3957
400787,833,2024-01-19,3512
400788,8333,2023-01-08,3246
400789,6467,2023-10-15,180
400790,662,2023-06-10,870
400791,11996,2025-03-12,4641
400792,6544,2025-02-24,2357
400793,2877,2023-08-05,3466
400794,4639,2024-12-30,3088
400795,5968,2024-02-01,1318
400796,5831,2025-06-09,2162
400797,2237,2023-06-14,3285
400798,5766,2025-01-08,248
400799,6688,2023-08-16,358
400800,4963,2023-09-17,814
400801,6610,2025-05-09,3872
400802,10657,2023-06-27,4298
400803,4778,2024-08-19,2565
400804,5585,2023-08-11,3013
400805,10525,2023-05-20,2753
400806,6676,2024-10-21,863
400807,533,2025-04-07,1962
400808,6171,2024-09-04,863
400809,11590,2024-02-20,1101
400810,8392,2025-03-10,4543
400811,11866,2024-03-31,2868
400812,578,2024-11-09,4381
400813,7043,2025-05-30,2966
400814,11107,2025-05-14,377
400815,6757,2023-07-01,4874
400816,8333,2023-11-27,4808
400817,2292,2023-08-03,1189
400818,10012,2024-05-15,3102
400819,161,2025-03-30,1154
400820,9665,2024-10-04,965
400821,23,2024-02-07,4992
400822,7991,2023-09-29,2046
400823,6699,2023-10-26,4780
400824,6363,2024-04-18,4080
400825,3363,2023-03-26,2854
400826,10190,2024-03-07,4519
400827,3285,2023-06-05,2589
400828,522,2025-06-04,4414
400829,2380,2023-03-16,4578
400830,1406,2023-07-17,1020
400831,5297,2023-04-01,3047
400832,1912,2025-02-27,4714
400833,4500,2024-05-24,2558
400834,11932,2025-06-03,1181
400835,8625,2024-06-14,1030
400836,648,2024-12-19,376
400837,6707,2023-09-12,4792
400838,3756,2024-09-01,1454
400839,793,2023-03-30,1446
400840,10643,2024-05-01,3977
400841,6775,2025-02-20,547
400842,2401,2023-08-04,2196
400843,4020,2024-12-02,784
400844,5643,2024-04-11,2829
400845,10157,2023-10-09,2890
400846,1112,2023-03-28,1919
400847,4460,2025-04-19,1762
400848,6186,2025-06-14,481
400849,11615,2025-01-07,3168
400850,157,2024-05-13,3907
400851,11545,2024-10-16,1071
400852,3385,2023-03-12,1918
400853,1307,2023-09-16,1697
400854,7751,2024-03-19,1805
400855,2057,2023-12-07,3578
400856,3678,2025-02-07,1872
400857,7413,2025-01-29,1204
400858,10707,2025-02-05,2758
400859,11969,2024-09-19,1481
400860,10756,2024-02-10,3551
400861,7428,2023-12-29,100
400862,3341,2025-06-19,730
400863,5317,2023-03-23,145
400864,3630,2023-02-02,72
400865,8050,2024-02-27,3672
400866,2532,2023-02-18,393
400867,270,2025-05-14,3854
400868,3183,2023-05-25,4137
400869,2844,2023-08-31,2269
400870,2080,2024-12-05,257
400871,3375,2023-01-11,2822
400872,10455,2023-03-25,1141
400873,4616,2024-04-18,2131
400874,1430,2024-11-10,1556
400875,7921,2023-12-12,2215
400876,3849,2024-02-13,3114
400877,10257,2023-10-10,1500
400878,6629,2024-08-26,4823
400879,8197,2023-09-14,2812
400880,14,2024-07-28,1806
400881,7655,2023-09-12,3675
400882,6951,2024-09-26,4573
400883,9227,2025-03-29,2898
400884,6998,2023-01-21,4726
400885,2959,2023-10-31,4136
400886,4326,2025-06-03,384
400887,1751,2023-01-23,505
400888,4513,2023-07-05,1416
400889,31,2023-05-26,1028
